Time;ThermostatTargetTemperature;LivingroomTemperature;KitchenTemperature;HallTemperature
0.1;;16.999146;16.998762;16.998621
5;;16.961144;16.943696;16.937310
10;;16.922466;16.887706;16.875023
15;;16.883891;16.831916;16.813014
20;;16.845493;16.776437;16.751404
25;;16.807119;16.721047;16.689945
30;;16.768845;16.665854;16.628760
30.1;14.000000;16.768845;16.665854;16.628760
30.2;14.000000;16.767316;16.663650;16.626318
35.2;14.000000;16.729147;16.608664;16.565416
40.2;14.000000;16.691078;16.553874;16.504784
45.2;14.000000;16.653032;16.499171;16.444302
50.2;14.000000;16.615162;16.444774;16.384210
55.2;14.000000;16.577392;16.390571;16.324385
60.1;14.000000;16.577392;16.390571;16.324385
60.2;14.000000;16.539720;16.336562;16.264826
65.2;14.000000;16.502147;16.282747;16.205533
70.2;14.000000;16.464673;16.229125;16.146503
75.2;14.000000;16.427371;16.175802;16.087853
80.2;14.000000;16.390093;16.122563;16.029347
85.2;14.000000;16.352912;16.069514;15.971101
90.1;14.000000;16.352912;16.069514;15.971101
90.2;14.000000;16.315828;16.016656;15.913115
95.2;14.000000;16.278842;15.963987;15.855387
100.2;14.000000;16.241952;15.911507;15.797915
105.2;14.000000;16.205160;15.859215;15.740699
110.2;14.000000;16.168463;15.807110;15.683738
115.2;14.000000;16.131863;15.755192;15.627030
120.1;14.000000;16.131863;15.755192;15.627030
120.2;14.000000;16.095359;15.703460;15.570575
125.2;14.000000;16.058950;15.651913;15.514371
130.2;14.000000;16.022637;15.600551;15.458417
135.2;14.000000;15.986419;15.549373;15.402712
140.2;14.000000;15.950296;15.498378;15.347255
145.2;14.000000;15.914267;15.447566;15.292045
150.1;14.000000;15.914267;15.447566;15.292045
150.2;14.000000;15.878333;15.396936;15.237081
155.2;14.000000;15.842493;15.346488;15.182361
160.2;14.000000;15.806676;15.296119;15.127776
165.2;14.000000;15.771024;15.246032;15.073542
170.2;14.000000;15.735465;15.196124;15.019550
175.2;14.000000;15.699999;15.146395;14.965798
180.1;14.000000;15.699999;15.146395;14.965798
180.2;14.000000;15.664626;15.096844;14.912286
185.2;14.000000;15.629346;15.047471;14.859011
190.2;14.000000;15.594159;14.998274;14.805974
195.2;14.000000;15.559063;14.949254;14.753172
200.2;14.000000;15.524060;14.900409;14.700606
205.2;14.000000;15.489148;14.851739;14.648274
210.1;14.000000;15.489148;14.851739;14.648274
210.2;14.000000;15.454328;14.803244;14.596174
215.2;14.000000;15.419599;14.754922;14.544306
220.2;14.000000;15.384961;14.706774;14.492669
225.2;14.000000;15.350414;14.658798;14.441262
230.2;14.000000;15.315957;14.610994;14.390084
235.2;14.000000;15.281591;14.563361;14.339133
240.1;14.000000;15.281591;14.563361;14.339133
240.2;14.000000;15.247314;14.515899;14.288410
245.2;14.000000;15.213128;14.468607;14.237912
250.2;14.000000;15.179031;14.421484;14.187638
255.2;14.000000;15.145023;14.374530;14.137589
260.2;14.000000;15.111105;14.327745;14.087762
265.2;14.000000;15.077275;14.281127;14.038157
270.1;14.000000;15.077275;14.281127;14.038157
270.2;14.000000;15.043534;14.234676;13.988772
275.2;14.000000;15.009881;14.188391;13.939608
280.2;14.000000;14.976317;14.142273;13.890662
285.2;14.000000;14.942840;14.096319;13.841934
290.2;14.000000;14.909451;14.050530;13.793423
295.2;14.000000;14.876150;14.004905;13.745127
300.1;14.000000;14.876150;14.004905;13.745127
300.2;14.000000;14.842936;13.959444;13.697047
305.2;14.000000;14.809809;13.914146;13.649181
310.2;14.000000;14.776769;13.869009;13.601527
315.2;14.000000;14.743815;13.824035;13.554086
320.2;14.000000;14.710948;13.779222;13.506856
325.2;14.000000;14.678167;13.734569;13.459836
330.1;14.000000;14.678167;13.734569;13.459836
330.2;14.000000;14.645471;13.690076;13.413025
335.2;14.000000;14.612862;13.645743;13.366423
340.2;14.000000;14.580338;13.601568;13.320028
345.2;14.000000;14.547899;13.557552;13.273839
350.2;14.000000;14.515545;13.513693;13.227856
355.2;14.000000;14.483275;13.469992;13.182078
360.1;14.000000;14.483275;13.469992;13.182078
360.2;14.000000;14.451091;13.426447;13.136503
365.2;14.000000;14.418991;13.383058;13.091132
370.2;14.000000;14.386974;13.339824;13.045962
375.2;14.000000;14.355042;13.296746;13.000993
380.2;14.000000;14.323193;13.253821;12.956224
385.2;14.000000;14.291428;13.211051;12.911655
390.1;14.000000;14.291428;13.211051;12.911655
390.2;14.000000;14.259746;13.168434;12.867283
395.2;14.000000;14.228147;13.125969;12.823110
400.2;14.000000;14.196631;13.083657;12.779133
405.2;14.000000;14.165198;13.041496;12.735351
410.2;14.000000;14.133846;12.999486;12.691765
415.2;14.000000;14.102577;12.957627;12.648372
420.1;14.000000;14.102577;12.957627;12.648372
420.2;14.000000;14.071390;12.915918;12.605173
425.2;14.000000;14.040285;12.874358;12.562165
430.2;14.000000;14.009261;12.832947;12.519349
435.2;14.000000;13.978318;12.791684;12.476724
440.2;14.000000;13.947457;12.750570;12.434289
445.2;14.000000;13.916676;12.709602;12.392042
450.1;14.000000;13.916676;12.709602;12.392042
450.2;14.000000;13.885976;12.668782;12.349983
455.2;14.000000;13.855356;12.628107;12.308111
460.2;14.000000;13.824817;12.587578;12.266426
465.2;14.000000;13.794358;12.547195;12.224926
470.2;14.000000;13.763978;12.506956;12.183611
475.2;14.000000;13.733678;12.466862;12.142480
480.1;14.000000;13.733678;12.466862;12.142480
480.2;14.000000;13.703458;12.426911;12.101532
485.2;14.000000;13.673316;12.387103;12.060766
490.2;14.000000;13.643254;12.347437;12.020182
495.2;14.000000;13.613270;12.307914;11.979778
500.2;14.000000;13.583365;12.268533;11.939554
505.2;14.000000;13.553538;12.229292;11.899509
510.1;14.000000;13.553538;12.229292;11.899509
510.2;14.000000;13.592731;12.314226;11.945739
515.2;14.000000;13.631843;12.398896;11.991792
520.2;14.000000;13.670853;12.483264;12.037640
525.2;14.000000;13.709761;12.567329;12.083283
530.2;14.000000;13.748567;12.651092;12.128724
535.2;14.000000;13.787271;12.734556;12.173963
540.1;14.000000;13.787271;12.734556;12.173963
540.2;14.000000;13.825873;12.817721;12.219000
545.2;14.000000;13.864375;12.900587;12.263837
550.2;14.000000;13.902776;12.983157;12.308474
555.2;14.000000;13.941076;13.065431;12.352913
560.2;14.000000;13.979275;13.147410;12.397154
565.2;14.000000;14.017375;13.229096;12.441198
570.1;14.000000;14.017375;13.229096;12.441198
570.2;14.000000;14.055375;13.310489;12.485046
575.2;14.000000;14.093275;13.391590;12.528699
580.2;14.000000;14.131076;13.472401;12.572157
585.2;14.000000;14.168778;13.552922;12.615422
590.2;14.000000;14.206381;13.633155;12.658495
