time,cohla-level,cohla-valve,intocps-level,intocps-value,d-level,da-level
9.7,2.082713,0,2.08271270331398,0,2.96686020195835E-07,2.96686020195835E-07
9.8,2.182713,1,2.18271270331398,1,2.96686020195835E-07,2.96686020195835E-07
9.9,2.055603,1,2.05560338010686,1,-3.80106859765306E-07,3.80106859765306E-07
10,1.938065,1,1.93806481350737,1,1.8649262978343E-07,1.8649262978343E-07
10.1,1.832664,1,1.83266440560709,1,-4.05607090137039E-07,4.05607090137039E-07
10.2,1.738149,1,1.73814865382497,1,3.46175029974916E-07,3.46175029974916E-07
10.3,1.653394,1,1.65339350426814,1,4.95731860006288E-07,4.95731860006288E-07
10.4,1.577391,1,1.57739098361993,1,1.63800699670702E-08,1.63800699670702E-08
10.5,1.509237,1,1.50923721154726,1,-2.11547259931777E-07,2.11547259931777E-07
10.6,1.448122,1,1.44812165106166,1,3.48938339778115E-07,3.48938339778115E-07
10.7,1.393317,1,1.39331746899107,1,-4.68991070201597E-07,4.68991070201597E-07
10.8,1.344173,1,1.34417289192162,1,1.08078380023358E-07,1.08078380023358E-07
10.9,1.300103,1,1.30010345480778,1,-4.54807779881605E-07,4.54807779881605E-07
11,1.260585,1,1.26058505006527,1,-5.00652699297888E-08,5.00652699297888E-08
11.1,1.225148,1,1.2251476944812,1,3.05518799814664E-07,3.05518799814664E-07
11.2,1.19337,1,1.19336993981285,1,6.01871501526574E-08,6.01871501526574E-08
11.3,1.164874,1,1.16487386060157,1,1.39398429910287E-07,1.39398429910287E-07
11.4,1.139321,1,1.13932055959305,1,4.40406950019678E-07,4.40406950019678E-07
11.5,1.116406,1,1.11640613731093,1,-1.37310929959611E-07,1.37310929959611E-07
11.6,1.095858,1,1.09585807785088,1,-7.78508799648137E-08,7.78508799648137E-08
11.7,1.077432,1,1.07743200791225,1,-7.91224996632422E-09,7.91224996632422E-09
11.8,1.060909,1,1.06090879052312,1,2.0947688006423E-07,2.0947688006423E-07
11.9,1.046092,1,1.04609191889517,1,8.11048299631523E-08,8.11048299631523E-08
12,1.032805,1,1.03280517941404,1,-1.79414040069048E-07,1.79414040069048E-07
12.1,1.020891,1,1.02089055597178,1,4.44028219970249E-07,4.44028219970249E-07
12.2,1.010206,1,1.01020635071793,1,-3.50717930031053E-07,3.50717930031053E-07
12.3,1.000625,1,1.00062549887988,1,-4.98879879851089E-07,4.98879879851089E-07
12.4,0.992034,1,0.992034057611055,1,-5.76110551486764E-08,5.76110551486764E-08
12.5,0.98433,0,0.984329850895046,0,1.4910495382825E-07,1.4910495382825E-07
12.6,1.082542,0,1.08254165166592,0,3.48334079802726E-07,3.48334079802726E-07
12.7,1.182542,0,1.18254165166592,0,3.4833408002477E-07,3.4833408002477E-07
12.8,1.282542,0,1.28254165166593,0,3.48334069810718E-07,3.48334069810718E-07
12.9,1.382542,0,1.38254165166593,0,3.48334070032763E-07,3.48334070032763E-07
13,1.482542,0,1.48254165166593,0,3.48334070032763E-07,3.48334070032763E-07
13.1,1.582542,0,1.58254165166593,0,3.48334070032763E-07,3.48334070032763E-07
13.2,1.682542,0,1.68254165166594,0,3.48334060040756E-07,3.48334060040756E-07
13.3,1.782542,0,1.78254165166594,0,3.48334059818711E-07,3.48334059818711E-07
13.4,1.882542,0,1.88254165166594,0,3.48334059818711E-07,3.48334059818711E-07
13.5,1.982542,0,1.98254165166594,0,3.48334060040756E-07,3.48334060040756E-07
13.6,2.082542,0,2.08254165166594,0,3.483340602628E-07,3.483340602628E-07
13.7,2.182542,1,2.18254165166594,1,3.48334059818711E-07,3.48334059818711E-07
13.8,2.05545,1,2.05544971423769,1,2.85762309815141E-07,2.85762309815141E-07
13.9,1.937927,1,1.93792701664835,1,-1.66483500319004E-08,1.66483500319004E-08
14,1.832541,1,1.83254083897217,1,1.61027829959082E-07,1.61027829959082E-07
14.1,1.738038,1,1.73803784786485,1,1.52135149811272E-07,1.52135149811272E-07
14.2,1.653294,1,1.65329414119326,1,-1.41193260194683E-07,1.41193260194683E-07
14.3,1.577302,1,1.5773018817283,1,1.18271699989236E-07,1.18271699989236E-07
14.4,1.509157,1,1.50915731117078,1,-3.111707798098E-07,3.111707798098E-07
14.5,1.44805,1,1.44805000196371,1,-1.96370986138561E-09,1.96370986138561E-09
14.6,1.393253,1,1.39325321906554,1,-2.19065539930341E-07,2.19065539930341E-07
14.7,1.344115,1,1.34411527705908,1,-2.77059080122655E-07,2.77059080122655E-07
14.8,1.300052,1,1.30005178980804,1,2.10191960059447E-07,2.10191960059447E-07
14.9,1.260539,1,1.26053872048849,1,2.7951151015948E-07,2.7951151015948E-07
15,1.225106,1,1.22510614934046,1,-1.49340459998371E-07,1.49340459998371E-07
15.1,1.193333,1,1.19333268502145,1,3.14978549909029E-07,3.14978549909029E-07
15.2,1.16484,1,1.16484045309693,1,-4.53096930197461E-07,4.53096930197461E-07
15.3,1.139291,1,1.13929060206746,1,3.9793254003051E-07,3.9793254003051E-07
15.4,1.116379,1,1.1163792734865,1,-2.73486499891007E-07,2.73486499891007E-07
15.5,1.095834,1,1.09583398824238,1,1.17576199887282E-08,1.17576199887282E-08
15.6,1.07741,1,1.07741040602757,1,-4.06027570010181E-07,4.06027570010181E-07
15.7,1.060889,1,1.06088941945605,1,-4.19456050115841E-07,4.19456050115841E-07
15.8,1.046075,1,1.0460745482701,1,4.51729900152742E-07,4.51729900152742E-07
15.9,1.03279,1,1.03278960264617,1,3.97353830061675E-07,3.97353830061675E-07
16,1.020877,1,1.02087658781023,1,4.12189770093718E-07,4.12189770093718E-07
16.1,1.010194,1,1.01019382504259,1,1.74957410115084E-07,1.74957410115084E-07
16.2,1.000614,1,1.00061426672581,1,-2.66725810105228E-07,2.66725810105228E-07
16.3,0.992024,1,0.99202398539684,1,1.46031599035368E-08,1.46031599035368E-08
16.4,0.984321,0,0.984320818834188,0,1.81165811907746E-07,1.81165811907746E-07
16.5,1.082533,0,1.08253263601331,0,3.63986689899676E-07,3.63986689899676E-07
16.6,1.182533,0,1.18253263601331,0,3.6398669012172E-07,3.6398669012172E-07
16.7,1.282533,0,1.28253263601331,0,3.63986689899676E-07,3.63986689899676E-07
16.8,1.382533,0,1.38253263601332,0,3.63986679907669E-07,3.63986679907669E-07
16.9,1.482533,0,1.48253263601332,0,3.63986680129713E-07,3.63986680129713E-07
17,1.582533,0,1.58253263601332,0,3.63986680129713E-07,3.63986680129713E-07
17.1,1.682533,0,1.68253263601332,0,3.63986679907669E-07,3.63986679907669E-07
17.2,1.782533,0,1.78253263601332,0,3.63986679907669E-07,3.63986679907669E-07
17.3,1.882533,0,1.88253263601333,0,3.63986670137706E-07,3.63986670137706E-07
17.4,1.982533,0,1.98253263601333,0,3.63986670137706E-07,3.63986670137706E-07
17.5,2.082533,0,2.08253263601333,0,3.63986670137706E-07,3.63986670137706E-07
17.6,2.182533,1,2.18253263601333,1,3.63986669693617E-07,3.63986669693617E-07
17.7,2.055442,1,2.05544161494072,1,3.85059280016975E-07,3.85059280016975E-07
17.8,1.93792,1,1.94910392206194,1,-0.01118392206194,0.01118392206194
17.9,1.842564,1,1.84256351003017,1,4.8996982981997E-07,4.8996982981997E-07
18,1.747025,1,1.74702548186725,1,-4.81867250101686E-07,4.81867250101686E-07
18.1,1.661354,1,1.66135362598466,1,3.7401534003223E-07,3.7401534003223E-07
18.2,1.584529,1,1.58452906689021,1,-6.68902102596292E-08,6.68902102596292E-08
18.3,1.515638,1,1.51563814793844,1,-1.47938439942763E-07,1.47938439942763E-07
18.4,1.453862,1,1.45386156542418,1,4.34575819996397E-07,4.34575819996397E-07
18.5,1.398465,1,1.39846462479384,1,3.75206159919372E-07,3.75206159919372E-07
18.6,1.348789,1,1.34878850309362,1,4.96906380043072E-07,4.96906380043072E-07
18.7,1.304242,1,1.30424241374112,1,-4.13741120031119E-07,4.13741120031119E-07
18.8,1.264297,1,1.26429658043762,1,4.19562379949667E-07,4.19562379949667E-07
18.9,1.228476,1,1.22847593666159,1,6.33384098502887E-08,6.33384098502887E-08
19,1.196354,1,1.19635447581285,1,-4.75812850009305E-07,4.75812850009305E-07
19.1,1.16755,1,1.16755018481492,1,-1.84814920034526E-07,1.84814920034526E-07
19.2,1.141721,1,1.14172050092228,1,4.99077720039765E-07,4.99077720039765E-07
19.3,1.118558,1,1.11855823770109,1,-2.37701090144427E-07,2.37701090144427E-07
19.4,1.097788,1,1.09778793173227,1,6.82677299135293E-08,6.82677299135293E-08
19.5,1.079163,1,1.07916256658905,1,4.33410950018143E-07,4.33410950018143E-07
19.6,1.062461,1,1.06246063512789,1,3.64872110081293E-07,3.64872110081293E-07
19.7,1.047484,1,1.04748350515551,1,4.94844490050994E-07,4.94844490050994E-07
19.8,1.034053,1,1.03405305714227,1,-5.71422698047996E-08,5.71422698047996E-08
19.9,1.02201,1,1.02200956588802,1,4.34111980140983E-07,4.34111980140983E-07
20,1.01121,1,1.01120980094732,1,1.99052679894507E-07,1.99052679894507E-07
20.1,1.001525,1,1.00152532322304,1,-3.23223040110676E-07,3.23223040110676E-07
20.2,0.992841,1,0.992840957469975,1,4.25300249462524E-08,4.25300249462524E-08
20.3,0.985053,0,0.985053422542424,0,-4.22542424161065E-07,4.22542424161065E-07
20.4,1.083264,0,1.08326390882481,0,9.11751900645186E-08,9.11751900645186E-08
20.5,1.183264,0,1.18326390882481,0,9.1175189842474E-08,9.1175189842474E-08
20.6,1.283264,0,1.28326390882481,0,9.11751900645186E-08,9.11751900645186E-08
20.7,1.383264,0,1.38326390882481,0,9.11751900645186E-08,9.11751900645186E-08
20.8,1.483264,0,1.48326390882482,0,9.11751798504668E-08,9.11751798504668E-08
20.9,1.583264,0,1.58326390882482,0,9.11751800725114E-08,9.11751800725114E-08
21,1.683264,0,1.68326390882482,0,9.11751798504668E-08,9.11751798504668E-08
21.1,1.783264,0,1.78326390882482,0,9.11751798504668E-08,9.11751798504668E-08
21.2,1.883264,0,1.88326390882483,0,9.11751700805041E-08,9.11751700805041E-08
21.3,1.983264,0,1.98326390882483,0,9.11751698584595E-08,9.11751698584595E-08
21.4,2.083264,0,2.08326390882483,0,9.11751696364149E-08,9.11751696364149E-08
21.5,2.183264,1,2.18326390882482,1,9.11751798504668E-08,9.11751798504668E-08
21.6,2.056099,1,2.05609856080163,1,4.39198370116856E-07,4.39198370116856E-07
21.7,1.938509,1,1.93850885709853,1,1.42901469768475E-07,1.42901469768475E-07
21.8,1.833063,1,1.83306259300199,1,4.06998009960802E-07,4.06998009960802E-07
21.9,1.738506,1,1.73850572057385,1,2.79426150218143E-07,2.79426150218143E-07
22,1.653714,1,1.65371369688293,1,3.03117069888614E-07,3.03117069888614E-07
22.1,1.577678,1,1.57767811007708,1,-1.10077079895632E-07,1.10077079895632E-07
22.2,1.509495,1,1.50949468657506,1,3.13424940001639E-07,3.13424940001639E-07
22.3,1.448353,1,1.44835253675084,1,4.6324915992102E-07,4.6324915992102E-07
22.4,1.393525,1,1.39352451121152,1,4.88788479913183E-07,4.88788479913183E-07
22.5,1.344359,1,1.3443585529784,1,4.4702159973653E-07,4.4702159973653E-07
22.6,1.30027,1,1.30026994272475,1,5.72752500982432E-08,5.72752500982432E-08
22.7,1.260734,1,1.26073434484457,1,-3.44844570010494E-07,3.44844570010494E-07
22.8,1.225282,1,1.22528157165097,1,4.28349030023867E-07,4.28349030023867E-07
22.9,1.19349,1,1.19348999154319,1,8.45680991901077E-09,8.45680991901077E-09
23,1.164982,1,1.16498151463984,1,4.85360159840909E-07,4.85360159840909E-07
23.1,1.139417,1,1.13941709624374,1,-9.62437400886529E-08,9.62437400886529E-08
23.2,1.116493,1,1.116492704662,1,2.95338000055878E-07,2.95338000055878E-07
23.3,1.095936,1,1.09593570542775,1,2.94572249925906E-07,2.94572249925906E-07
23.4,1.077502,1,1.07750161892167,1,3.81078330002893E-07,3.81078330002893E-07
23.5,1.060971,1,1.06097121283266,1,-2.12832660162476E-07,2.12832660162476E-07
23.6,1.046148,1,1.04614789487886,1,1.0512114001493E-07,1.0512114001493E-07
23.7,1.032855,1,1.03285537478126,1,-3.74781260026324E-07,3.74781260026324E-07
23.8,1.020936,1,1.02093556768439,1,4.32315609977252E-07,4.32315609977252E-07
23.9,1.010247,1,1.01024671408977,1,2.85910229935737E-07,2.85910229935737E-07
24,1.000662,1,1.00066169394317,1,3.06056829879608E-07,3.06056829879608E-07
24.1,0.992067,1,0.992066514825268,1,4.85174731834626E-07,4.85174731834626E-07
24.2,0.984359,0,0.984358956266299,0,4.3733700882953E-08,4.3733700882953E-08
24.3,1.082571,0,1.08257070416242,0,2.95837579988856E-07,2.95837579988856E-07
24.4,1.182571,0,1.18257070416242,0,2.95837579988856E-07,2.95837579988856E-07
24.5,1.282571,0,1.28257070416242,0,2.95837579988856E-07,2.95837579988856E-07
24.6,1.382571,0,1.38257070416242,0,2.95837579988856E-07,2.95837579988856E-07
24.7,1.482571,0,1.48257070416243,0,2.95837569996849E-07,2.95837569996849E-07
24.8,1.582571,0,1.58257070416243,0,2.95837569996849E-07,2.95837569996849E-07
24.9,1.682571,0,1.68257070416243,0,2.95837569774804E-07,2.95837569774804E-07
25,1.782571,0,1.78257070416243,0,2.95837569996849E-07,2.95837569996849E-07
25.1,1.882571,0,1.88257070416244,0,2.95837560004841E-07,2.95837560004841E-07
25.2,1.982571,0,1.98257070416244,0,2.95837560226886E-07,2.95837560226886E-07
25.3,2.082571,0,2.08257070416244,0,2.95837560226886E-07,2.95837560226886E-07
25.4,2.182571,1,2.18257070416243,1,2.95837569996849E-07,2.95837569996849E-07
25.5,2.055476,1,2.05547581382326,1,1.8617674024668E-07,1.8617674024668E-07
25.6,1.93795,1,1.93795042094061,1,-4.20940610146303E-07,4.20940610146303E-07
25.7,1.832562,1,1.83256182631295,1,1.73687049853655E-07,1.73687049853655E-07
25.8,1.738057,1,1.73805666785171,1,3.32148289983181E-07,3.32148289983181E-07
25.9,1.653311,1,1.65331101764793,1,-1.76479300062482E-08,1.76479300062482E-08
26,1.577317,1,1.57731701535855,1,-1.53585499873543E-08,1.53585499873543E-08
26.1,1.509171,1,1.50917088195735,1,1.18042649877026E-07,1.18042649877026E-07
26.2,1.448062,1,1.44806217130081,1,-1.7130080998129E-07,1.7130080998129E-07
26.3,1.393264,1,1.39326413168028,1,-1.31680280013313E-07,1.31680280013313E-07
26.4,1.344125,1,1.34412506273265,1,-6.27326499635927E-08,6.27326499635927E-08
26.5,1.300061,1,1.30006056491919,1,4.35080810046173E-07,4.35080810046173E-07
26.6,1.260547,1,1.26054658939757,1,4.10602429834484E-07,4.10602429834484E-07
26.7,1.225113,1,1.22511320563059,1,-2.05630590111028E-07,2.05630590111028E-07
26.8,1.193339,1,1.19333901261144,1,-1.26114401144406E-08,1.26114401144406E-08
26.9,1.164846,1,1.16484612723934,1,-1.27239339953178E-07,1.27239339953178E-07
27,1.139296,1,1.13929569024356,1,3.09756440053377E-07,3.09756440053377E-07
27.1,1.116384,1,1.11638383620877,1,1.63791230134436E-07,1.63791230134436E-07
27.2,1.095838,1,1.09583807977424,1,-7.97742398805923E-08,7.97742398805923E-08
27.3,1.077414,1,1.07741407502864,1,-7.50286399675559E-08,7.50286399675559E-08
27.4,1.060893,1,1.06089270956091,1,2.90439090111505E-07,2.90439090111505E-07
27.5,1.046077,1,1.04607749860721,1,-4.98607210186464E-07,4.98607210186464E-07
27.6,1.032792,1,1.03279224830319,1,-2.48303190009125E-07,2.48303190009125E-07
27.7,1.020879,1,1.02087896025135,1,3.97486501491073E-08,3.97486501491073E-08
27.8,1.010196,1,1.01019595248271,1,4.7517290102661E-08,4.7517290102661E-08
27.9,1.000616,1,1.00061617446608,1,-1.74466080027358E-07,1.74466080027358E-07
28,0.992026,1,0.992025696125568,1,3.03874431839546E-07,3.03874431839546E-07
28.1,0.984322,0,0.984322352896675,0,-3.52896675104297E-07,3.52896675104297E-07
28.2,1.082534,0,1.08253416728891,0,-1.67288910057906E-07,1.67288910057906E-07
28.3,1.182534,0,1.18253416728892,0,-1.67288920049913E-07,1.67288920049913E-07
28.4,1.282534,0,1.28253416728892,0,-1.67288920049913E-07,1.67288920049913E-07
28.5,1.382534,0,1.38253416728892,0,-1.67288920049913E-07,1.67288920049913E-07
28.6,1.482534,0,1.48253416728892,0,-1.67288920049913E-07,1.67288920049913E-07
28.7,1.582534,0,1.58253416728893,0,-1.67288930263965E-07,1.67288930263965E-07
28.8,1.682534,0,1.68253416728893,0,-1.6728893004192E-07,1.6728893004192E-07
28.9,1.782534,0,1.78253416728893,0,-1.67288929819875E-07,1.67288929819875E-07
29,1.882534,0,1.88253416728893,0,-1.6728893004192E-07,1.6728893004192E-07
29.1,1.982534,0,1.98253416728894,0,-1.67288940255972E-07,1.67288940255972E-07
29.2,2.082534,0,2.08253416728893,0,-1.67288930263965E-07,1.67288930263965E-07
29.3,2.182534,1,2.18253416728893,1,-1.67288929819875E-07,1.67288929819875E-07
29.4,2.055443,1,2.05544299057667,1,9.42333011622054E-09,9.42333011622054E-09
29.5,1.937921,1,1.93792098733699,1,1.26630099739344E-08,1.26630099739344E-08
29.6,1.832535,1,1.83253543230529,1,-4.32305290010149E-07,4.32305290010149E-07
29.7,1.738033,1,1.7380329995422,1,4.57799798070369E-10,4.57799798070369E-10
29.8,1.65329,1,1.65328979355486,1,2.06445139872002E-07,2.06445139872002E-07
29.9,1.577298,1,1.57729798306871,1,1.69312897035923E-08,1.69312897035923E-08
30,1.509154,1,1.50915381512414,1,1.84875859954303E-07,1.84875859954303E-07
