time,CoHLA-0.1,CoHLA-1.0
3,17.988995,17.988995
6,17.977632,17.977632
9,17.966643,17.966643
12,17.955662,17.955662
15,17.944688,17.944688
18,17.933722,17.933722
21,17.923128,17.923128
24,17.912177,17.912177
27,17.901233,17.901233
30,17.890297,17.890297
33,17.879369,17.879369
36,17.868448,17.868448
39,17.857535,17.857535
42,17.846629,17.846629
45,17.835731,17.835731
48,17.82484,17.82484
51,17.813957,17.813957
54,17.803082,17.803082
57,17.792214,17.792214
60,17.781354,17.781354
