time,20sim,fmu,cohla,d-20sim-fmu,d-fmu-cohla,d-20sim-cohla,offset-20sim-cohla,target
51,17.8138952310342,17.814,17.813957,0.000104768965802,4.30000000015696E-05,6.17689658000131E-05,6.17689658000131E-05,18
54,17.8030161632705,17.8031,17.803082,8.38367295017406E-05,1.80000000007396E-05,6.58367295010009E-05,6.58367295010009E-05,18
57,17.7921446479175,17.7922,17.792214,5.53520825015141E-05,1.40000000001805E-05,6.93520825016947E-05,6.93520825016947E-05,18
60,17.7812806797321,17.7814,17.781354,0.000119320267903,4.60000000011007E-05,7.33202679015221E-05,7.33202679015221E-05,18
63,17.7704242534751,17.7705,17.770501,7.57465248995004E-05,1.00000000102796E-06,7.67465249005284E-05,7.67465249005284E-05,18
66,17.7595753639108,17.7597,17.759655,0.0001246360892,4.50000000000728E-05,7.96360892003634E-05,7.96360892003634E-05,18
69,17.7487340058069,17.7488,17.748818,6.59941931004937E-05,1.80000000007396E-05,8.39941931012334E-05,8.39941931012334E-05,18
72,17.7379001739351,17.738,17.737987,9.98260649005545E-05,1.29999999991526E-05,8.68260649014019E-05,8.68260649014019E-05,18
75,17.7270738630705,17.7272,17.727165,0.000126136929499,3.50000000004513E-05,9.11369294982478E-05,9.11369294982478E-05,18
78,17.716255067992,17.716,17.715989,0.000255067992001,1.10000000006494E-05,0.000266067992001,-0.000266067992001,18
81,17.705443783482,17.7052,17.705182,0.000243783481999,1.80000000007396E-05,0.000261783481999,-0.000261783481999,18
84,17.6946400043265,17.6944,17.694382,0.0002400043265,1.80000000007396E-05,0.000258004326501,-0.000258004326501,18
87,17.6838437253152,17.6836,17.683589,0.000243725315201,1.09999999970967E-05,0.000254725315198,-0.000254725315198,18
90,17.6730549412415,17.6728,17.672804,0.000254941241501,4.00000000055911E-06,0.0002509412415,-0.0002509412415,18
93,17.6809182750013,17.68,17.680044,0.0009182750013,4.39999999990448E-05,0.000874275001301,-0.000874275001301,18
96,17.6887761499178,17.6879,17.6879,0.000876149917801,0,0.000876149917801,-0.000876149917801,18
99,17.6966285697807,17.6958,17.69575,0.000828569780701,4.99999999981071E-05,0.000878569780699,-0.000878569780699,18
102,17.7044755383769,17.7036,17.703595,0.000875538376899,5.00000000158707E-06,0.000880538376901,-0.000880538376901,18
105,17.7123170594908,17.7114,17.711435,0.000917059490799,3.50000000004513E-05,0.000882059490799,-0.000882059490799,18
108,17.720153136904,17.7193,17.719269,0.000853136903999,3.09999999998922E-05,0.000884136903998,-0.000884136903998,18
111,17.7279837743957,17.7271,17.727097,0.0008837743957,2.99999999953116E-06,0.000886774395699,-0.000886774395699,18
114,17.7358089757424,17.7349,17.734921,0.000908975742401,2.10000000002708E-05,0.000887975742401,-0.000887975742401,18
117,17.743628744718,17.7427,17.742738,0.000928744717999,3.79999999999825E-05,0.000890744717999,-0.000890744717999,18
120,17.7514430850935,17.7506,17.750551,0.0008430850935,4.89999999970792E-05,0.000892085093497,-0.000892085093497,18
123,17.7592520006378,17.7584,17.758358,0.000852000637799,4.20000000005416E-05,0.0008940006378,-0.0008940006378,18
126,17.7670554951167,17.7662,17.766159,0.000855495116699,4.10000000030664E-05,0.000896495116702,-0.000896495116702,18
129,17.7748535722936,17.774,17.773955,0.0008535722936,4.50000000000728E-05,0.0008985722936,-0.0008985722936,18
132,17.7826462359294,17.7817,17.781746,0.000946235929398,4.5999999997548E-05,0.0009002359294,-0.0009002359294,18
135,17.7904334897822,17.7895,17.789531,0.000933489782199,3.09999999998922E-05,0.000902489782199,-0.000902489782199,18
138,17.7982153376074,17.7973,17.797311,0.000915337607399,1.10000000006494E-05,0.000904337607398,-0.000904337607398,18
141,17.8059917831582,17.8051,17.805085,0.000891783158199,1.50000000012085E-05,0.0009067831582,-0.0009067831582,18
144,17.8137628301848,17.8129,17.812854,0.000862830184801,4.5999999997548E-05,0.000908830184798,-0.000908830184798,18
147,17.8215284824349,17.8206,17.820618,0.000928482434901,1.80000000007396E-05,0.0009104824349,-0.0009104824349,18
150,17.8292887436536,17.8284,17.828376,0.000888743653601,2.3999999999802E-05,0.000912743653601,-0.000912743653601,18
153,17.8370436175837,17.8361,17.836129,0.000943617583697,2.89999999978363E-05,0.0009146175837,-0.0009146175837,18
156,17.8447931079648,17.8439,17.843877,0.000893107964799,2.30000000023267E-05,0.000916107964802,-0.000916107964802,18
159,17.8525372185346,17.8516,17.851619,0.000937218534599,1.89999999982149E-05,0.000918218534601,-0.000918218534601,18
162,17.8602759530275,17.8594,17.859356,0.000875953027499,4.40000000025975E-05,0.000919953027502,-0.000919953027502,18
165,17.8680093151758,17.8671,17.867087,0.0009093151758,1.29999999991526E-05,0.000922315175799,-0.000922315175799,18
168,17.8757373087091,17.8748,17.874813,0.000937308709098,1.29999999991526E-05,0.000924308709099,-0.000924308709099,18
171,17.8834599373543,17.8825,17.882534,0.000959937354299,3.39999999994234E-05,0.0009259373543,-0.0009259373543,18
174,17.8911772048358,17.8902,17.890249,0.000977204835799,4.90000000006319E-05,0.000928204835798,-0.000928204835798,18
177,17.8988891148754,17.898,17.897959,0.000889114875399,4.09999999995137E-05,0.000930114875398,-0.000930114875398,18
180,17.9065956711924,17.9057,17.905664,0.000895671192399,3.59999999979266E-05,0.000931671192397,-0.000931671192397,18
183,17.9142968775033,17.9134,17.913363,0.000896877503301,3.69999999989545E-05,0.0009338775033,-0.0009338775033,18
186,17.9219927375222,17.9211,17.921057,0.0008927375222,4.29999999980169E-05,0.000935737522198,-0.000935737522198,18
189,17.9296832549606,17.9287,17.928746,0.000983254960602,4.60000000011007E-05,0.000937254960601,-0.000937254960601,18
192,17.9373684335274,17.9364,17.936429,0.000968433527401,2.9000000001389E-05,0.0009394335274,-0.0009394335274,18
195,17.9450482769289,17.9441,17.944107,0.000948276928902,7.00000000009027E-06,0.000941276928902,-0.000941276928902,18
198,17.9527227888689,17.9518,17.951779,0.000922788868902,2.10000000002708E-05,0.000943788868902,-0.000943788868902,18
201,17.9603919730486,17.9594,17.959447,0.000991973048603,4.70000000021287E-05,0.0009449730486,-0.0009449730486,18
204,17.9680558331664,17.9671,17.967109,0.000955833166401,9.00000000214618E-06,0.000946833166399,-0.000946833166399,18
207,17.9757143729186,17.9748,17.974765,0.000914372918601,3.49999999968986E-05,0.000949372918598,-0.000949372918598,18
210,17.9833675959986,17.9824,17.982416,0.000967595998603,1.60000000022364E-05,0.0009515959986,-0.0009515959986,18
213,17.9910155060972,17.9901,17.990062,0.000915506097197,3.79999999999825E-05,0.000953506097197,-0.000953506097197,18
216,17.9986581069029,17.9977,17.997703,0.0009581069029,2.99999999953116E-06,0.0009551069029,-0.0009551069029,18
219,18.0062954021014,18.0053,18.005339,0.000995402101402,3.90000000010104E-05,0.000956402101401,-0.000956402101401,18
222,18.013927395376,18.013,18.012969,0.000927395375999,3.10000000034449E-05,0.000958395376003,-0.000958395376003,18
225,18.0215540904073,18.0206,18.020593,0.000954090407298,7.00000000009027E-06,0.000961090407298,-0.000961090407298,18
228,18.0291754908734,18.0282,18.028213,0.000975490873401,1.30000000027053E-05,0.000962490873398,-0.000962490873398,18
231,18.03679160045,18.0358,18.035827,0.000991600450003,2.70000000028858E-05,0.000964600450001,-0.000964600450001,18
234,18.04440242281,18.0434,18.043436,0.00100242281,3.60000000014793E-05,0.000966422809999,-0.000966422809999,18
237,18.052007961624,18.051,18.05104,0.001007961624001,4.00000000020384E-05,0.000967961623999,-0.000967961623999,18
240,18.0596082205597,18.0586,18.058638,0.001008220559701,3.79999999999825E-05,0.000970220559701,-0.000970220559701,18
243,18.0672032032826,18.0662,18.066231,0.0010032032826,3.09999999998922E-05,0.000972203282601,-0.000972203282601,18
246,18.0747929134556,18.0738,18.073819,0.000992913455601,1.90000000017676E-05,0.000973913455599,-0.000973913455599,18
249,18.0823773547388,18.0814,18.081402,0.000977354738801,2.00000000205591E-06,0.000975354738799,-0.000975354738799,18
