nodes,m-min,m-max,m-avg,a-min,a-max,a-avg
1,1,1,1,1,1,1
2,1.93186293383202,2.21470766184478,2.0732852978384,1.71815442413807,1.96971001447971,1.84393221930889
3,2.44697452454791,2.85098489032386,2.59494644821124,2.30182496336752,2.6818702544292,2.44101949291772
4,2.92067164440705,3.94894310653066,3.39427121674203,2.67886309562086,3.6220018005273,3.11325236319208
5,3.45717842323651,4.67433609958506,3.93122406639004,3.2577271216594,4.40466462043753,3.70442415593048
6,3.97443175042335,5.37369714026761,4.56648062902982,3.58511187607573,4.84731067125646,4.11916594951234
7,4.23729847937751,5.72911051212938,4.81095385822538,3.85454881913442,5.21160741134834,4.37638665375706
