Mode Speed Time Overshoot mmOvershoot
0 1.5 1.68501 0.00067 0.670000000000032
0 2 2.18501 0.000667 0.667000000000001
0 2.5 2.68501 0.000666 0.666
0 3 3.18501 0.000666 0.666
2 0.02 15.56301 4.79999999999925E-05 0.047999999999993
2 0.04 7.94801 0.000125 0.124999999999986
2 0.06 5.38201 0.000176 0.176000000000009
2 0.08 4.09001 0.000182 0.181999999999988
2 0.1 3.31301 0.00029 0.290000000000012
2 0.12 2.79301 0.000303 0.302999999999998
2 0.14 2.42101 0.000305 0.305
