Time,ThermostatTargetTemperature,POOSL,VDM,20sim,POOSL_compensated
290,,,18.624875,,
290,,,,18.624875,
290,,,,,18.446287
295,20.5,17.930878,,,
295,,,18.650802,,
295,,,,18.650802,
295,,,,,18.472682
300,20.5,17.958624,,,
300,,,18.676661,,
300,,,,18.676661,
300,,,,,18.499008
300.1,20.5,17.958624,,,
300.1,,,,,18.499008
305,20.5,17.986297,,,
305,,,18.702453,,
305,,,,18.702453,
305,,,,,18.525265
310,20.5,18.013897,,,
310,,,18.728177,,
310,,,,18.728177,
310,,,,,18.551453
315,20.5,18.041425,,,
315,,,18.753833,,
315,,,,18.753833,
315,,,,,18.577573
315.1,,,,,18.577573
320,20.5,18.068881,,,
320,,,18.779423,,
320,,,,18.779423,
320,,,,,18.603624
325,20.5,18.096265,,,
325,,,18.804945,,
325,,,,18.804945,
325,,,,,18.629607
330,20.5,18.123578,,,
330,,,18.8304,,
330,,,,18.8304,
330,,,,,18.655521
330.1,20.5,18.123578,,,
330.1,,,,,18.655521
335,20.5,18.150818,,,
335,,,18.855789,,
335,,,,18.855789,
335,,,,,18.681368
340,20.5,18.177988,,,
340,,,18.881111,,
340,,,,18.881111,
340,,,,,18.707147
345,20.5,18.205086,,,
345,,,18.906367,,
345,,,,18.906367,
345,,,,,18.732859
345.1,,,,,18.732859
350,20.5,18.232113,,,
350,,,18.931557,,
350,,,,18.931557,
350,,,,,18.758503
355,20.5,18.259069,,,
355,,,18.95668,,
355,,,,18.95668,
355,,,,,18.78408
360,20.5,18.285955,,,
360,,,18.981738,,
360,,,,18.981738,
360,,,,,18.809591
360.1,20.5,18.285955,,,
360.1,,,,,18.809591
365,20.5,18.31277,,,
365,,,19.00673,,
365,,,,19.00673,
365,,,,,18.835034
370,20.5,18.339515,,,
370,,,19.031657,,
370,,,,19.031657,
370,,,,,18.86041
375,20.5,18.36619,,,
375,,,19.056518,,
375,,,,19.056518,
375,,,,,18.88572
375.1,,,,,18.88572
380,20.5,18.392795,,,
380,,,19.081315,,
380,,,,19.081315,
380,,,,,18.910964
385,20.5,18.41933,,,
385,,,19.106046,,
385,,,,19.106046,
385,,,,,18.936142
390,20.5,18.445796,,,
390,,,19.130712,,
390,,,,19.130712,
390,,,,,18.961253
390.1,20.5,18.445796,,,
390.1,,,,,18.961253
395,20.5,18.472193,,,
395,,,19.155314,,
395,,,,19.155314,
395,,,,,18.986299
400,20.5,18.49852,,,
400,,,19.179851,,
400,,,,19.179851,
400,,,,,19.011279
405,20.5,18.524778,,,
405,,,19.204325,,
405,,,,19.204325,
405,,,,,19.036194
405.1,,,,,19.036194
410,20.5,18.550968,,,
410,,,19.228733,,
410,,,,19.228733,
410,,,,,19.061044
415,20.5,18.577089,,,
415,,,19.253078,,
415,,,,19.253078,
415,,,,,19.085828
420,20.5,18.603141,,,
420,,,19.27736,,
420,,,,19.27736,
420,,,,,19.110547
420.1,20.5,18.603141,,,
420.1,,,,,19.110547
425,20.5,18.629125,,,
425,,,19.301577,,
425,,,,19.301577,
425,,,,,19.135202
430,20.5,18.655041,,,
430,,,19.325731,,
430,,,,19.325731,
430,,,,,19.159792
435,20.5,18.680889,,,
435,,,19.349822,,
435,,,,19.349822,
435,,,,,19.184318
435.1,,,,,19.184318
440,20.5,18.70667,,,
440,,,19.37385,,
440,,,,19.37385,
440,,,,,19.208779
445,20.5,18.732383,,,
445,,,19.397815,,
445,,,,19.397815,
445,,,,,19.233176
450,20.5,18.758028,,,
450,,,19.421717,,
450,,,,19.421717,
450,,,,,19.25751
450.1,20.5,18.758028,,,
450.1,,,,,19.25751
455,20.5,18.783607,,,
455,,,19.445556,,
455,,,,19.445556,
455,,,,,19.281779
460,20.5,18.809118,,,
460,,,19.469333,,
460,,,,19.469333,
460,,,,,19.305985
465,20.5,18.834562,,,
465,,,19.493047,,
465,,,,19.493047,
465,,,,,19.330128
465.1,,,,,19.330128
470,20.5,18.85994,,,
470,,,19.5167,,
470,,,,19.5167,
470,,,,,19.354207
475,20.5,18.885251,,,
475,,,19.54029,,
475,,,,19.54029,
475,,,,,19.378223
480,20.5,18.910496,,,
480,,,19.563819,,
480,,,,19.563819,
480,,,,,19.402177
480.1,20.5,18.910496,,,
480.1,,,,,19.402177
485,20.5,18.935675,,,
485,,,19.587286,,
485,,,,19.587286,
485,,,,,19.426067
490,20.5,18.960788,,,
490,,,19.610691,,
490,,,,19.610691,
490,,,,,19.449895
495,20.5,18.985835,,,
495,,,19.634035,,
495,,,,19.634035,
495,,,,,19.473661
495.1,,,,,19.473661
500,20.5,19.010817,,,
500,,,19.657318,,
500,,,,19.657318,
500,,,,,19.497364
505,20.5,19.035732,,,
505,,,19.68054,,
505,,,,19.68054,
505,,,,,19.521005
510,20.5,19.060583,,,
510,,,19.703702,,
510,,,,19.703702,
510,,,,,19.544584
510.1,20.5,19.060583,,,
510.1,,,,,19.544584
515,20.5,19.085369,,,
515,,,19.726802,,
515,,,,19.726802,
515,,,,,19.568101
520,20.5,19.110089,,,
520,,,19.749842,,
520,,,,19.749842,
520,,,,,19.591557
525,20.5,19.134745,,,
525,,,19.772822,,
525,,,,19.772822,
525,,,,,19.614951
525.1,,,,,19.614951
530,20.5,19.159336,,,
530,,,19.795741,,
530,,,,19.795741,
530,,,,,19.638284
535,20.5,19.183863,,,
535,,,19.8186,,
535,,,,19.8186,
535,,,,,19.661556
540,20.5,19.208326,,,
540,,,19.8414,,
540,,,,19.8414,
540,,,,,19.684767
540.1,20.5,19.208326,,,
540.1,,,,,19.684767
545,20.5,19.232724,,,
545,,,19.864139,,
545,,,,19.864139,
545,,,,,19.707917
550,20.5,19.257059,,,
550,,,19.886819,,
550,,,,19.886819,
550,,,,,19.731007
555,20.5,19.28133,,,
555,,,19.90944,,
555,,,,19.90944,
555,,,,,19.754036
555.1,,,,,19.754036
560,20.5,19.305537,,,
560,,,19.932001,,
560,,,,19.932001,
560,,,,,19.777004
565,20.5,19.32968,,,
565,,,19.954504,,
565,,,,19.954504,
565,,,,,19.799913
570,20.5,19.353761,,,
570,,,19.976947,,
570,,,,19.976947,
570,,,,,19.822761
570.1,20.5,19.353761,,,
570.1,,,,,19.822761
575,20.5,19.377778,,,
575,,,19.999332,,
575,,,,19.999332,
575,,,,,19.84555
580,20.5,19.401733,,,
580,,,20.021657,,
580,,,,20.021657,
580,,,,,19.868278
585,20.5,19.425624,,,
585,,,20.043925,,
585,,,,20.043925,
585,,,,,19.890948
585.1,,,,,19.890948
590,20.5,19.449454,,,
590,,,20.066134,,
590,,,,20.066134,
590,,,,,19.913557
595,20.5,19.47322,,,
595,,,20.088285,,
595,,,,20.088285,
595,,,,,19.936108
600,20.5,19.496925,,,
600,,,20.110377,,
600,,,,20.110377,
600,,,,,19.9586
600.1,20.5,19.496925,,,
600.1,,,,,19.9586
605,20.5,19.520567,,,
605,,,20.132412,,
605,,,,20.132412,
605,,,,,19.981032
610,20.5,19.544147,,,
610,,,20.154389,,
610,,,,20.154389,
610,,,,,20.003406
615,20.5,19.567666,,,
615,,,20.176309,,
615,,,,20.176309,
615,,,,,20.025721
615.1,,,,,20.025721
620,20.5,19.591123,,,
620,,,20.198171,,
620,,,,20.198171,
620,,,,,20.047978
625,20.5,19.614518,,,
625,,,20.219976,,
625,,,,20.219976,
625,,,,,20.070176
630,20.5,19.637852,,,
630,,,20.241724,,
630,,,,20.241724,
630,,,,,20.092316
630.1,20.5,19.637852,,,
630.1,,,,,20.092316
635,20.5,19.661125,,,
635,,,20.263415,,
635,,,,20.263415,
635,,,,,20.114399
640,20.5,19.684337,,,
640,,,20.285048,,
640,,,,20.285048,
640,,,,,20.136423
645,20.5,19.707488,,,
645,,,20.306626,,
645,,,,20.306626,
645,,,,,20.15839
645.1,,,,,20.15839
650,20.5,19.730579,,,
650,,,20.328146,,
650,,,,20.328146,
650,,,,,20.180299
655,20.5,19.753609,,,
655,,,20.349611,,
655,,,,20.349611,
655,,,,,20.20215
660,20.5,19.776579,,,
660,,,20.371019,,
660,,,,20.371019,
660,,,,,20.223945
660.1,20.5,19.776579,,,
660.1,,,,,20.223945
665,20.5,19.799488,,,
665,,,20.392371,,
665,,,,20.392371,
665,,,,,20.245682
670,20.5,19.822338,,,
670,,,20.413667,,
670,,,,20.413667,
670,,,,,20.267363
675,20.5,19.845127,,,
675,,,20.434907,,
675,,,,20.434907,
675,,,,,20.288986
675.1,,,,,20.288986
680,20.5,19.867857,,,
680,,,20.456091,,
680,,,,20.456091,
680,,,,,20.310553
685,20.5,19.890528,,,
685,,,20.47722,,
685,,,,20.47722,
685,,,,,20.332063
690,20.5,19.913139,,,
690,,,20.498294,,
690,,,,20.498294,
690,,,,,20.353517
690.1,20.5,19.913139,,,
690.1,,,,,20.353517
695,20.5,19.93569,,,
695,,,20.519313,,
695,,,,20.519313,
695,,,,,20.374915
700,20.5,19.958183,,,
700,,,20.540276,,
700,,,,20.540276,
700,,,,,20.396257
705,20.5,19.980617,,,
705,,,20.561185,,
705,,,,20.561185,
705,,,,,20.417543
705.1,,,,,20.417543
710,20.5,20.002991,,,
710,,,20.582038,,
710,,,,20.582038,
710,,,,,20.438773
715,20.5,20.025308,,,
715,,,20.602837,,
715,,,,20.602837,
715,,,,,20.459947
720,20.5,20.047565,,,
720,,,20.623582,,
720,,,,20.623582,
720,,,,,20.481066
720.1,20.5,20.047565,,,
720.1,,,,,20.481066
725,20.5,20.069765,,,
725,,,20.644272,,
725,,,,20.644272,
725,,,,,20.50213
730,20.5,20.091906,,,
730,,,20.664908,,
730,,,,20.664908,
730,,,,,20.523138
735,20.5,20.11399,,,
735,,,20.68549,,
735,,,,20.68549,
735,,,,,20.544092
735.1,,,,,20.544092
740,20.5,20.136015,,,
740,,,20.706018,,
740,,,,20.706018,
740,,,,,20.56499
745,20.5,20.157983,,,
745,,,20.726492,,
745,,,,20.726492,
745,,,,,20.585834
750,20.5,20.179893,,,
750,,,20.746913,,
750,,,,20.746913,
750,,,,,20.606623
750.1,20.5,20.179893,,,
750.1,,,,,20.606623
755,20.5,20.201746,,,
755,,,20.76728,,
755,,,,20.76728,
755,,,,,20.627358
760,20.5,20.223541,,,
760,,,20.787593,,
760,,,,20.787593,
760,,,,,20.648038
765,20.5,20.245279,,,
765,,,20.807854,,
765,,,,20.807854,
765,,,,,20.668664
765.1,,,,,20.668664
770,20.5,20.266961,,,
770,,,20.828061,,
770,,,,20.828061,
770,,,,,20.689236
775,20.5,20.288586,,,
775,,,20.848216,,
775,,,,20.848216,
775,,,,,20.709754
780,20.5,20.310153,,,
780,,,20.868317,,
780,,,,20.868317,
780,,,,,20.730219
780.1,20.5,20.310153,,,
780.1,,,,,20.730219
785,20.5,20.331665,,,
785,,,20.819425,,
785,,,,20.819425,
785,,,,,20.75063
