Time,ThermostatTargetTemperature,POOSL,VDM,20sim,POOSL_compensated
1260,20.5,20.699493,,,
1260,,,20.424511,,
1260,,,,20.424511,
1260,,,,,20.275146
1260.1,20.5,20.699493,,,
1260.1,,,,,20.275146
1265,20.5,20.719984,,,
1265,,,20.445723,,
1265,,,,20.445723,
1265,,,,,20.296749
1270,20.5,20.740422,,,
1270,,,20.466879,,
1270,,,,20.466879,
1270,,,,,20.318296
1275,20.5,20.760806,,,
1275,,,20.48798,,
1275,,,,20.48798,
1275,,,,,20.339786
1275.1,,,,,20.339786
1280,20.5,20.781137,,,
1280,,,20.509025,,
1280,,,,20.509025,
1280,,,,,20.361219
1285,20.5,20.801414,,,
1285,,,20.530016,,
1285,,,,20.530016,
1285,,,,,20.382597
1290,20.5,20.821638,,,
1290,,,20.550951,,
1290,,,,20.550951,
1290,,,,,20.403919
1290.1,20.5,20.821638,,,
1290.1,,,,,20.403919
1295,20.5,20.84181,,,
1295,,,20.571832,,
1295,,,,20.571832,
1295,,,,,20.425184
1300,20.5,20.861928,,,
1300,,,20.592657,,
1300,,,,20.592657,
1300,,,,,20.446394
1305,20.5,20.881994,,,
1305,,,20.613429,,
1305,,,,20.613429,
1305,,,,,20.467549
1305.1,,,,,20.467549
1310,20.5,20.902007,,,
1310,,,20.634146,,
1310,,,,20.634146,
1310,,,,,20.488648
1315,20.5,20.921967,,,
1315,,,20.654808,,
1315,,,,20.654808,
1315,,,,,20.509692
1320,20.5,20.941876,,,
1320,,,20.675416,,
1320,,,,20.675416,
1320,,,,,20.53068
1320.1,20.5,20.941876,,,
1320.1,,,,,20.53068
1325,20.5,20.892791,,,
1325,,,20.695971,,
1325,,,,20.695971,
1325,,,,,20.551614
1330,20.5,20.843812,,,
1330,,,20.716471,,
1330,,,,20.716471,
1330,,,,,20.572493
1335,20.5,20.794962,,,
1335,,,20.736918,,
1335,,,,20.736918,
1335,,,,,20.593317
1335.1,,,,,20.593317
1340,20.5,20.746239,,,
1340,,,20.757311,,
1340,,,,20.757311,
1340,,,,,20.614086
1345,20.5,20.697645,,,
1345,,,20.777651,,
1345,,,,20.777651,
1345,,,,,20.634801
1350,20.5,20.649177,,,
1350,,,20.797938,,
1350,,,,20.797938,
1350,,,,,20.655462
1350.1,20.5,20.649177,,,
1350.1,,,,,20.655462
1355,20.5,20.600836,,,
1355,,,20.818171,,
1355,,,,20.818171,
1355,,,,,20.676069
1360,20.5,20.552623,,,
1360,,,20.838351,,
1360,,,,20.838351,
1360,,,,,20.696621
1365,20.5,20.504535,,,
1365,,,20.858479,,
1365,,,,20.858479,
1365,,,,,20.71712
1365.1,,,,,20.71712
1370,20.5,20.456573,,,
1370,,,20.878554,,
1370,,,,20.878554,
1370,,,,,20.737565
1375,20.5,20.408738,,,
1375,,,20.898576,,
1375,,,,20.898576,
1375,,,,,20.757957
1380,20.5,20.361027,,,
1380,,,20.918545,,
1380,,,,20.918545,
1380,,,,,20.778295
1380.1,20.5,20.361027,,,
1380.1,,,,,20.778295
1385,20.5,20.313442,,,
1385,,,20.869522,,
1385,,,,20.869522,
1385,,,,,20.79858
1390,20.5,20.265981,,,
1390,,,20.820604,,
1390,,,,20.820604,
1390,,,,,20.818812
1395,20.5,20.218644,,,
1395,,,20.771814,,
1395,,,,20.771814,
1395,,,,,20.83899
1395.1,,,,,20.83899
1400,20.5,20.171432,,,
1400,,,20.723152,,
1400,,,,20.723152,
1400,,,,,20.859116
1405,20.5,20.124343,,,
1405,,,20.674618,,
1405,,,,20.674618,
1405,,,,,20.879189
1410,20.5,20.077378,,,
1410,,,20.626211,,
1410,,,,20.626211,
1410,,,,,20.899209
1410.1,20.5,20.077378,,,
1410.1,,,,,20.899209
1415,20.5,20.030535,,,
1415,,,20.577931,,
1415,,,,20.577931,
1415,,,,,20.850237
1420,20.5,19.983816,,,
1420,,,20.529777,,
1420,,,,20.529777,
1420,,,,,20.801369
1425,20.5,19.937219,,,
1425,,,20.481749,,
1425,,,,20.481749,
1425,,,,,20.75263
1425.1,,,,,20.75263
1430,20.5,19.890744,,,
1430,,,20.433847,,
1430,,,,20.433847,
1430,,,,,20.704018
1435,20.5,19.84439,,,
1435,,,20.386071,,
1435,,,,20.386071,
1435,,,,,20.655534
1440,20.5,19.798158,,,
1440,,,20.33842,,
1440,,,,20.33842,
1440,,,,,20.607177
1440.1,20.5,19.798158,,,
1440.1,,,,,20.607177
1445,20.5,19.820988,,,
1445,,,20.290893,,
1445,,,,20.290893,
1445,,,,,20.558947
1450,20.5,19.843782,,,
1450,,,20.243492,,
1450,,,,20.243492,
1450,,,,,20.510842
1455,20.5,19.866515,,,
1455,,,20.196214,,
1455,,,,20.196214,
1455,,,,,20.462864
1455.1,,,,,20.462864
1460,20.5,19.889189,,,
1460,,,20.14906,,
1460,,,,20.14906,
1460,,,,,20.415012
1465,20.5,19.911803,,,
1465,,,20.10203,,
1465,,,,20.10203,
1465,,,,,20.367285
1470,20.5,19.934359,,,
1470,,,20.055123,,
1470,,,,20.055123,
1470,,,,,20.319683
1470.1,20.5,19.934359,,,
1470.1,,,,,20.319683
1475,20.5,19.956855,,,
1475,,,20.07728,,
1475,,,,20.07728,
1475,,,,,20.272206
1480,20.5,19.979292,,,
1480,,,20.099402,,
1480,,,,20.099402,
1480,,,,,20.224853
1485,20.5,20.00167,,,
1485,,,20.121465,,
1485,,,,20.121465,
1485,,,,,20.177624
1485.1,,,,,20.177624
1490,20.5,20.02399,,,
1490,,,20.143471,,
1490,,,,20.143471,
1490,,,,,20.130519
1495,20.5,20.046251,,,
1495,,,20.165419,,
1495,,,,20.165419,
1495,,,,,20.083538
1500,20.5,20.068454,,,
1500,,,20.18731,,
1500,,,,20.18731,
1500,,,,,20.036679
1500.1,20.5,20.068454,,,
1500.1,,,,,20.036679
1505,20.5,20.090599,,,
1505,,,20.209143,,
1505,,,,20.209143,
1505,,,,,20.058884
1510,20.5,20.112685,,,
1510,,,20.230919,,
1510,,,,20.230919,
1510,,,,,20.081054
1515,20.5,20.134714,,,
1515,,,20.252638,,
1515,,,,20.252638,
1515,,,,,20.103166
1515.1,,,,,20.103166
1520,20.5,20.156685,,,
1520,,,20.274301,,
1520,,,,20.274301,
1520,,,,,20.12522
1525,20.5,20.178599,,,
1525,,,20.295906,,
1525,,,,20.295906,
1525,,,,,20.147216
1530,20.5,20.200455,,,
1530,,,20.317455,,
1530,,,,20.317455,
1530,,,,,20.169154
1530.1,20.5,20.200455,,,
1530.1,,,,,20.169154
1535,20.5,20.222254,,,
1535,,,20.338947,,
1535,,,,20.338947,
1535,,,,,20.191035
1540,20.5,20.243996,,,
1540,,,20.360383,,
1540,,,,20.360383,
1540,,,,,20.212859
1545,20.5,20.265681,,,
1545,,,20.381763,,
1545,,,,20.381763,
1545,,,,,20.234625
1545.1,,,,,20.234625
1550,20.5,20.287309,,,
1550,,,20.403087,,
1550,,,,20.403087,
1550,,,,,20.256334
1555,20.5,20.30888,,,
1555,,,20.424355,,
1555,,,,20.424355,
1555,,,,,20.277987
1560,20.5,20.330395,,,
1560,,,20.445567,,
1560,,,,20.445567,
1560,,,,,20.299583
1560.1,20.5,20.330395,,,
1560.1,,,,,20.299583
1565,20.5,20.351853,,,
1565,,,20.466723,,
1565,,,,20.466723,
1565,,,,,20.321122
1570,20.5,20.373255,,,
1570,,,20.487825,,
1570,,,,20.487825,
1570,,,,,20.342604
1575,20.5,20.394601,,,
1575,,,20.508871,,
1575,,,,20.508871,
1575,,,,,20.364031
1575.1,,,,,20.364031
1580,20.5,20.415891,,,
1580,,,20.529861,,
1580,,,,20.529861,
1580,,,,,20.385401
1585,20.5,20.437126,,,
1585,,,20.550797,,
1585,,,,20.550797,
1585,,,,,20.406715
1590,20.5,20.458305,,,
1590,,,20.571678,,
1590,,,,20.571678,
1590,,,,,20.427974
1590.1,20.5,20.458305,,,
1590.1,,,,,20.427974
1595,20.5,20.479428,,,
1595,,,20.592504,,
1595,,,,20.592504,
1595,,,,,20.449176
1600,20.5,20.500496,,,
1600,,,20.613276,,
1600,,,,20.613276,
1600,,,,,20.470324
1605,20.5,20.521509,,,
1605,,,20.633993,,
1605,,,,20.633993,
1605,,,,,20.491415
1605.1,,,,,20.491415
1610,20.5,20.542466,,,
1610,,,20.654656,,
1610,,,,20.654656,
1610,,,,,20.512452
1615,20.5,20.563369,,,
1615,,,20.675265,,
1615,,,,20.675265,
1615,,,,,20.533433
1620,20.5,20.584217,,,
1620,,,20.69582,,
1620,,,,20.69582,
1620,,,,,20.55436
1620.1,20.5,20.584217,,,
1620.1,,,,,20.55436
1625,20.5,20.60501,,,
1625,,,20.71632,,
1625,,,,20.71632,
1625,,,,,20.575231
1630,20.5,20.625749,,,
1630,,,20.736768,,
1630,,,,20.736768,
1630,,,,,20.596048
1635,20.5,20.646434,,,
1635,,,20.757161,,
1635,,,,20.757161,
1635,,,,,20.616811
1635.1,,,,,20.616811
1640,20.5,20.667064,,,
1640,,,20.777501,,
1640,,,,20.777501,
1640,,,,,20.637518
1645,20.5,20.68764,,,
1645,,,20.797788,,
1645,,,,20.797788,
1645,,,,,20.658172
1650,20.5,20.708163,,,
1650,,,20.818022,,
1650,,,,20.818022,
1650,,,,,20.678772
1650.1,20.5,20.708163,,,
1650.1,,,,,20.678772
1655,20.5,20.728631,,,
1655,,,20.838203,,
1655,,,,20.838203,
1655,,,,,20.699317
1660,20.5,20.749046,,,
1660,,,20.858331,,
1660,,,,20.858331,
1660,,,,,20.719809
1665,20.5,20.769407,,,
1665,,,20.878406,,
1665,,,,20.878406,
1665,,,,,20.740247
1665.1,,,,,20.740247
1670,20.5,20.789716,,,
1670,,,20.898428,,
1670,,,,20.898428,
1670,,,,,20.760632
1675,20.5,20.80997,,,
1675,,,20.918398,,
1675,,,,20.918398,
1675,,,,,20.780963
1680,20.5,20.830172,,,
1680,,,20.938316,,
1680,,,,20.938316,
1680,,,,,20.801241
1680.1,20.5,20.830172,,,
1680.1,,,,,20.801241
1685,20.5,20.850321,,,
1685,,,20.889241,,
1685,,,,20.889241,
1685,,,,,20.821465
1690,20.5,20.870417,,,
1690,,,20.840271,,
1690,,,,20.840271,
1690,,,,,20.841637
1695,20.5,20.890461,,,
1695,,,20.79143,,
1695,,,,20.79143,
1695,,,,,20.861756
1695.1,,,,,20.861756
1700,20.5,20.910452,,,
1700,,,20.742717,,
1700,,,,20.742717,
1700,,,,,20.881822
1705,20.5,20.93039,,,
1705,,,20.694131,,
1705,,,,20.694131,
1705,,,,,20.901835
1710,20.5,20.950276,,,
1710,,,20.645673,,
1710,,,,20.645673,
1710,,,,,20.921797
1710.1,20.5,20.950276,,,
1710.1,,,,,20.921797
1715,20.5,20.90117,,,
1715,,,20.597341,,
1715,,,,20.597341,
1715,,,,,20.872765
1720,20.5,20.852169,,,
1720,,,20.549137,,
1720,,,,20.549137,
1720,,,,,20.823838
1725,20.5,20.803297,,,
1725,,,20.501058,,
1725,,,,20.501058,
1725,,,,,20.77504
1725.1,,,,,20.77504
1730,20.5,20.754552,,,
1730,,,20.453106,,
1730,,,,20.453106,
1730,,,,,20.72637
1735,20.5,20.705936,,,
1735,,,20.405279,,
1735,,,,20.405279,
1735,,,,,20.677827
1740,20.5,20.657446,,,
1740,,,20.357578,,
1740,,,,20.357578,
1740,,,,,20.629411
1740.1,20.5,20.657446,,,
1740.1,,,,,20.629411
1745,20.5,20.609084,,,
1745,,,20.310001,,
1745,,,,20.310001,
1745,,,,,20.581123
1750,20.5,20.560849,,,
1750,,,20.262549,,
1750,,,,20.262549,
1750,,,,,20.53296
1755,20.5,20.51274,,,
1755,,,20.215222,,
1755,,,,20.215222,
1755,,,,,20.484924
1755.1,,,,,20.484924
1760,20.5,20.464757,,,
1760,,,20.168018,,
1760,,,,20.168018,
1760,,,,,20.437014
1765,20.5,20.416899,,,
1765,,,20.120939,,
1765,,,,20.120939,
1765,,,,,20.38923
1770,20.5,20.369167,,,
1770,,,20.073982,,
1770,,,,20.073982,
1770,,,,,20.34157
1770.1,20.5,20.369167,,,
1770.1,,,,,20.34157
1775,20.5,20.321561,,,
1775,,,20.096089,,
1775,,,,20.096089,
1775,,,,,20.294036
1780,20.5,20.274078,,,
1780,,,20.118162,,
1780,,,,20.118162,
1780,,,,,20.246626
1785,20.5,20.226721,,,
1785,,,20.140176,,
1785,,,,20.140176,
1785,,,,,20.19934
1785.1,,,,,20.19934
1790,20.5,20.179487,,,
1790,,,20.162133,,
1790,,,,20.162133,
1790,,,,,20.152178
1795,20.5,20.132377,,,
1795,,,20.184032,,
1795,,,,20.184032,
1795,,,,,20.10514
1800,20.5,20.085391,,,
1800,,,20.205874,,
1800,,,,20.205874,
1800,,,,,20.058225
1800.1,20.5,20.085391,,,
1800.1,,,,,20.058225
1805,20.5,20.038528,,,
1805,,,20.227659,,
1805,,,,20.227659,
1805,,,,,20.011433
1810,20.5,19.991787,,,
1810,,,20.249387,,
1810,,,,20.249387,
1810,,,,,19.964763
1815,20.5,19.945169,,,
1815,,,20.271057,,
1815,,,,20.271057,
1815,,,,,19.918216
1815.1,,,,,19.918216
1820,20.5,19.898673,,,
1820,,,20.292671,,
1820,,,,20.292671,
1820,,,,,19.940731
1825,20.5,19.852299,,,
1825,,,20.314228,,
1825,,,,20.314228,
1825,,,,,19.963211
1830,20.5,19.806046,,,
1830,,,20.335729,,
1830,,,,20.335729,
1830,,,,,19.985631
1830.1,20.5,19.806046,,,
1830.1,,,,,19.985631
1835,20.5,19.828856,,,
1835,,,20.357173,,
1835,,,,20.357173,
1835,,,,,20.007993
1840,20.5,19.851628,,,
1840,,,20.378562,,
1840,,,,20.378562,
1840,,,,,20.030296
1845,20.5,19.874341,,,
1845,,,20.399894,,
1845,,,,20.399894,
1845,,,,,20.052541
1845.1,,,,,20.052541
1850,20.5,19.896995,,,
1850,,,20.42117,,
1850,,,,20.42117,
1850,,,,,20.074727
1855,20.5,19.919589,,,
1855,,,20.442391,,
1855,,,,20.442391,
1855,,,,,20.096855
1860,20.5,19.942123,,,
1860,,,20.463556,,
1860,,,,20.463556,
1860,,,,,20.118926
1860.1,20.5,19.942123,,,
1860.1,,,,,20.118926
1865,20.5,19.964599,,,
1865,,,20.484665,,
1865,,,,20.484665,
1865,,,,,20.140938
1870,20.5,19.987016,,,
1870,,,20.505719,,
1870,,,,20.505719,
1870,,,,,20.162893
1875,20.5,20.009374,,,
1875,,,20.526718,,
1875,,,,20.526718,
1875,,,,,20.18479
1875.1,,,,,20.18479
1880,20.5,20.031674,,,
1880,,,20.547662,,
1880,,,,20.547662,
1880,,,,,20.20663
1885,20.5,20.053915,,,
1885,,,20.568552,,
1885,,,,20.568552,
1885,,,,,20.228413
1890,20.5,20.076098,,,
1890,,,20.589386,,
1890,,,,20.589386,
1890,,,,,20.250139
1890.1,20.5,20.076098,,,
1890.1,,,,,20.250139
1895,20.5,20.098222,,,
1895,,,20.610166,,
1895,,,,20.610166,
1895,,,,,20.271807
1900,20.5,20.120289,,,
1900,,,20.630891,,
1900,,,,20.630891,
1900,,,,,20.293419
1905,20.5,20.142298,,,
1905,,,20.651562,,
1905,,,,20.651562,
1905,,,,,20.314975
1905.1,,,,,20.314975
1910,20.5,20.164249,,,
1910,,,20.672179,,
1910,,,,20.672179,
1910,,,,,20.336473
1915,20.5,20.186143,,,
1915,,,20.692742,,
1915,,,,20.692742,
1915,,,,,20.357916
1920,20.5,20.207979,,,
1920,,,20.713251,,
1920,,,,20.713251,
1920,,,,,20.379302
1920.1,20.5,20.207979,,,
1920.1,,,,,20.379302
1925,20.5,20.229759,,,
1925,,,20.733706,,
1925,,,,20.733706,
1925,,,,,20.400632
1930,20.5,20.251481,,,
1930,,,20.754108,,
1930,,,,20.754108,
1930,,,,,20.421907
1935,20.5,20.273146,,,
1935,,,20.774456,,
1935,,,,20.774456,
1935,,,,,20.443125
1935.1,,,,,20.443125
1940,20.5,20.294754,,,
1940,,,20.794751,,
1940,,,,20.794751,
1940,,,,,20.464288
1945,20.5,20.316306,,,
1945,,,20.814993,,
1945,,,,20.814993,
1945,,,,,20.485396
1950,20.5,20.337801,,,
1950,,,20.835181,,
1950,,,,20.835181,
1950,,,,,20.506448
1950.1,20.5,20.337801,,,
1950.1,,,,,20.506448
1955,20.5,20.35924,,,
1955,,,20.786376,,
1955,,,,20.786376,
1955,,,,,20.527445
1960,20.5,20.380623,,,
1960,,,20.737676,,
1960,,,,20.737676,
1960,,,,,20.548387
1965,20.5,20.40195,,,
1965,,,20.689104,,
1965,,,,20.689104,
1965,,,,,20.569275
1965.1,,,,,20.569275
1970,20.5,20.423221,,,
1970,,,20.640659,,
1970,,,,20.640659,
1970,,,,,20.590107
1975,20.5,20.444436,,,
1975,,,20.59234,,
1975,,,,20.59234,
1975,,,,,20.610885
1980,20.5,20.465596,,,
1980,,,20.544149,,
1980,,,,20.544149,
1980,,,,,20.631609
1980.1,20.5,20.465596,,,
1980.1,,,,,20.631609
1985,20.5,20.4867,,,
1985,,,20.496083,,
1985,,,,20.496083,
1985,,,,,20.652278
1990,20.5,20.507749,,,
1990,,,20.448144,,
1990,,,,20.448144,
1990,,,,,20.672893
1995,20.5,20.528742,,,
1995,,,20.40033,,
1995,,,,20.40033,
1995,,,,,20.693454
1995.1,,,,,20.693454
2000,20.5,20.549681,,,
2000,,,20.352642,,
2000,,,,20.352642,
2000,,,,,20.713961
2005,20.5,20.570565,,,
2005,,,20.305078,,
2005,,,,20.305078,
2005,,,,,20.734414
2010,20.5,20.591394,,,
2010,,,20.257639,,
2010,,,,20.257639,
2010,,,,,20.754814
2010.1,20.5,20.591394,,,
2010.1,,,,,20.754814
2015,20.5,20.612168,,,
2015,,,20.210325,,
2015,,,,20.210325,
2015,,,,,20.77516
2020,20.5,20.632889,,,
2020,,,20.163134,,
2020,,,,20.163134,
2020,,,,,20.795453
2025,20.5,20.653554,,,
2025,,,20.116067,,
2025,,,,20.116067,
2025,,,,,20.815693
2025.1,,,,,20.815693
2030,20.5,20.674166,,,
2030,,,20.069123,,
2030,,,,20.069123,
2030,,,,,20.83588
2035,20.5,20.694724,,,
2035,,,20.022303,,
2035,,,,20.022303,
2035,,,,,20.856014
2040,20.5,20.715228,,,
2040,,,19.975605,,
2040,,,,19.975605,
2040,,,,,20.876095
2040.1,20.5,20.715228,,,
2040.1,,,,,20.876095
2045,20.5,20.735678,,,
2045,,,19.99797,,
2045,,,,19.99797,
2045,,,,,20.827183
2050,20.5,20.756074,,,
2050,,,20.020299,,
2050,,,,20.020299,
2050,,,,,20.778376
2055,20.5,20.776417,,,
2055,,,20.04257,,
2055,,,,20.04257,
2055,,,,,20.729697
2055.1,,,,,20.729697
2060,20.5,20.796707,,,
2060,,,20.064783,,
2060,,,,20.064783,
2060,,,,,20.681145
2065,20.5,20.816943,,,
2065,,,20.086937,,
2065,,,,20.086937,
2065,,,,,20.632721
2070,20.5,20.837127,,,
2070,,,20.109033,,
2070,,,,20.109033,
2070,,,,,20.584424
2070.1,20.5,20.837127,,,
2070.1,,,,,20.584424
2075,20.5,20.857258,,,
2075,,,20.131072,,
2075,,,,20.131072,
2075,,,,,20.536253
2080,20.5,20.877336,,,
2080,,,20.153052,,
2080,,,,20.153052,
2080,,,,,20.488208
2085,20.5,20.897361,,,
2085,,,20.174975,,
2085,,,,20.174975,
2085,,,,,20.440289
2085.1,,,,,20.440289
2090,20.5,20.917334,,,
2090,,,20.196841,,
2090,,,,20.196841,
2090,,,,,20.392496
2095,20.5,20.937254,,,
2095,,,20.218649,,
2095,,,,20.218649,
2095,,,,,20.344828
2100,20.5,20.957123,,,
2100,,,20.240401,,
2100,,,,20.240401,
2100,,,,,20.297285
2100.1,20.5,20.957123,,,
2100.1,,,,,20.297285
2105,20.5,20.907998,,,
2105,,,20.262095,,
2105,,,,20.262095,
2105,,,,,20.249867
2110,20.5,20.858979,,,
2110,,,20.283732,,
2110,,,,20.283732,
2110,,,,,20.202572
2115,20.5,20.810089,,,
2115,,,20.305313,,
2115,,,,20.305313,
2115,,,,,20.155402
2115.1,,,,,20.155402
2120,20.5,20.761327,,,
2120,,,20.326837,,
2120,,,,20.326837,
2120,,,,,20.108355
2125,20.5,20.712693,,,
2125,,,20.348305,,
2125,,,,20.348305,
2125,,,,,20.061432
2130,20.5,20.664282,,,
2130,,,20.369673,,
2130,,,,20.369673,
2130,,,,,20.014725
2130.1,20.5,20.664282,,,
2130.1,,,,,20.014725
2135,20.5,20.615902,,,
2135,,,20.391029,,
2135,,,,20.391029,
2135,,,,,20.036987
2140,20.5,20.567649,,,
2140,,,20.412328,,
2140,,,,20.412328,
2140,,,,,20.059215
2145,20.5,20.519522,,,
2145,,,20.433572,,
2145,,,,20.433572,
2145,,,,,20.081384
2145.1,,,,,20.081384
2150,20.5,20.471521,,,
2150,,,20.45476,,
2150,,,,20.45476,
2150,,,,,20.103494
2155,20.5,20.423646,,,
2155,,,20.475893,,
2155,,,,20.475893,
2155,,,,,20.125547
2160,20.5,20.375897,,,
2160,,,20.49697,,
2160,,,,20.49697,
2160,,,,,20.147542
2160.1,20.5,20.375897,,,
2160.1,,,,,20.147542
2165,20.5,20.328272,,,
2165,,,20.517992,,
2165,,,,20.517992,
2165,,,,,20.16948
2170,20.5,20.280772,,,
2170,,,20.538959,,
2170,,,,20.538959,
2170,,,,,20.19136
2175,20.5,20.233397,,,
2175,,,20.559871,,
2175,,,,20.559871,
2175,,,,,20.213183
2175.1,,,,,20.213183
2180,20.5,20.186146,,,
2180,,,20.580728,,
2180,,,,20.580728,
2180,,,,,20.234948
2185,20.5,20.139019,,,
2185,,,20.60153,,
2185,,,,20.60153,
2185,,,,,20.256657
2190,20.5,20.092015,,,
2190,,,20.622278,,
2190,,,,20.622278,
2190,,,,,20.278308
2190.1,20.5,20.092015,,,
2190.1,,,,,20.278308
2195,20.5,20.045134,,,
2195,,,20.642972,,
2195,,,,20.642972,
2195,,,,,20.299903
2200,20.5,19.998376,,,
2200,,,20.663611,,
2200,,,,20.663611,
2200,,,,,20.321442
2205,20.5,19.951741,,,
2205,,,20.684197,,
2205,,,,20.684197,
2205,,,,,20.342923
2205.1,,,,,20.342923
2210,20.5,19.905228,,,
2210,,,20.704728,,
2210,,,,20.704728,
2210,,,,,20.364349
2215,20.5,19.858837,,,
2215,,,20.725206,,
2215,,,,20.725206,
2215,,,,,20.385718
2220,20.5,19.812567,,,
2220,,,20.745629,,
2220,,,,20.745629,
2220,,,,,20.407032
2220.1,20.5,19.812567,,,
2220.1,,,,,20.407032
2225,20.5,19.835359,,,
2225,,,20.766,,
2225,,,,20.766,
2225,,,,,20.428289
2230,20.5,19.858115,,,
2230,,,20.786317,,
2230,,,,20.786317,
2230,,,,,20.449491
2235,20.5,19.880811,,,
2235,,,20.806581,,
2235,,,,20.806581,
2235,,,,,20.470638
2235.1,,,,,20.470638
2240,20.5,19.903447,,,
2240,,,20.826791,,
2240,,,,20.826791,
2240,,,,,20.491729
2245,20.5,19.926024,,,
2245,,,20.846949,,
2245,,,,20.846949,
2245,,,,,20.512764
2250,20.5,19.948542,,,
2250,,,20.867054,,
2250,,,,20.867054,
2250,,,,,20.533745
2250.1,20.5,19.948542,,,
2250.1,,,,,20.533745
2255,20.5,19.971001,,,
2255,,,20.818166,,
2255,,,,20.818166,
2255,,,,,20.55467
2260,20.5,19.993401,,,
2260,,,20.769382,,
2260,,,,20.769382,
2260,,,,,20.575541
2265,20.5,20.015743,,,
2265,,,20.720727,,
2265,,,,20.720727,
2265,,,,,20.596357
2265.1,,,,,20.596357
2270,20.5,20.038025,,,
2270,,,20.672199,,
2270,,,,20.672199,
2270,,,,,20.617119
2275,20.5,20.06025,,,
2275,,,20.623798,,
2275,,,,20.623798,
2275,,,,,20.637826
2280,20.5,20.082416,,,
2280,,,20.575524,,
2280,,,,20.575524,
2280,,,,,20.658479
2280.1,20.5,20.082416,,,
2280.1,,,,,20.658479
2285,20.5,20.104524,,,
2285,,,20.527376,,
2285,,,,20.527376,
2285,,,,,20.679078
2290,20.5,20.126575,,,
2290,,,20.479355,,
2290,,,,20.479355,
2290,,,,,20.699622
2295,20.5,20.148567,,,
2295,,,20.431459,,
2295,,,,20.431459,
2295,,,,,20.720113
2295.1,,,,,20.720113
2300,20.5,20.170502,,,
2300,,,20.383689,,
2300,,,,20.383689,
2300,,,,,20.740551
2305,20.5,20.192379,,,
2305,,,20.336044,,
2305,,,,20.336044,
2305,,,,,20.760934
2310,20.5,20.214199,,,
2310,,,20.288524,,
2310,,,,20.288524,
2310,,,,,20.781265
2310.1,20.5,20.214199,,,
2310.1,,,,,20.781265
2315,20.5,20.235962,,,
2315,,,20.241129,,
2315,,,,20.241129,
2315,,,,,20.801542
2320,20.5,20.257668,,,
2320,,,20.193857,,
2320,,,,20.193857,
2320,,,,,20.821766
2325,20.5,20.279317,,,
2325,,,20.14671,,
2325,,,,20.14671,
2325,,,,,20.841936
2325.1,,,,,20.841936
2330,20.5,20.300909,,,
2330,,,20.099686,,
2330,,,,20.099686,
2330,,,,,20.862055
2335,20.5,20.322445,,,
2335,,,20.052785,,
2335,,,,20.052785,
2335,,,,,20.88212
2340,20.5,20.343924,,,
2340,,,20.006007,,
2340,,,,20.006007,
2340,,,,,20.902133
2340.1,20.5,20.343924,,,
2340.1,,,,,20.902133
2345,20.5,20.365347,,,
2345,,,20.028293,,
2345,,,,20.028293,
2345,,,,,20.853152
2350,20.5,20.386714,,,
2350,,,20.050543,,
2350,,,,20.050543,
2350,,,,,20.804277
2355,20.5,20.408025,,,
2355,,,20.072734,,
2355,,,,20.072734,
2355,,,,,20.75553
2355.1,,,,,20.75553
2360,20.5,20.42928,,,
2360,,,20.094868,,
2360,,,,20.094868,
2360,,,,,20.706911
2365,20.5,20.450479,,,
2365,,,20.116943,,
2365,,,,20.116943,
2365,,,,,20.658419
2370,20.5,20.471623,,,
2370,,,20.138961,,
2370,,,,20.138961,
2370,,,,,20.610055
2370.1,20.5,20.471623,,,
2370.1,,,,,20.610055
2375,20.5,20.492711,,,
2375,,,20.160921,,
2375,,,,20.160921,
2375,,,,,20.561817
2380,20.5,20.513744,,,
2380,,,20.182824,,
2380,,,,20.182824,
2380,,,,,20.513705
2385,20.5,20.534722,,,
2385,,,20.204669,,
2385,,,,20.204669,
2385,,,,,20.465719
2385.1,,,,,20.465719
2390,20.5,20.555645,,,
2390,,,20.226456,,
2390,,,,20.226456,
2390,,,,,20.41786
2395,20.5,20.576513,,,
2395,,,20.248187,,
2395,,,,20.248187,
2395,,,,,20.370125
2400,20.5,20.597327,,,
2400,,,20.269861,,
2400,,,,20.269861,
2400,,,,,20.322516
2400.1,20.5,20.597327,,,
2400.1,,,,,20.322516
2405,20.5,20.618086,,,
2405,,,20.291478,,
2405,,,,20.291478,
2405,,,,,20.275031
2410,20.5,20.638791,,,
2410,,,20.313038,,
2410,,,,20.313038,
2410,,,,,20.227671
2415,20.5,20.659441,,,
2415,,,20.334542,,
2415,,,,20.334542,
2415,,,,,20.180435
2415.1,,,,,20.180435
2420,20.5,20.680037,,,
2420,,,20.35599,,
2420,,,,20.35599,
2420,,,,,20.133322
2425,20.5,20.700579,,,
2425,,,20.377381,,
2425,,,,20.377381,
2425,,,,,20.086334
2430,20.5,20.721068,,,
2430,,,20.398716,,
2430,,,,20.398716,
2430,,,,,20.039468
2430.1,20.5,20.721068,,,
2430.1,,,,,20.039468
2435,20.5,20.741503,,,
2435,,,20.419996,,
2435,,,,20.419996,
2435,,,,,20.061666
2440,20.5,20.761884,,,
2440,,,20.441219,,
2440,,,,20.441219,
2440,,,,,20.083828
2445,20.5,20.782212,,,
2445,,,20.462387,,
2445,,,,20.462387,
2445,,,,,20.105932
2445.1,,,,,20.105932
2450,20.5,20.802486,,,
