time,20sim,cohla,delta,abs-delta,HeaterState-20sim,HeaterState-CoHLA,target
483,17.7241153547732,17.723024,-0.001091354773202,0.001091354773202,0,0,18
486,17.7133022421703,17.712212,-0.001090242170299,0.001090242170299,0,0,18
489,17.702496633673,17.701407,-0.001089633673001,0.001089633673001,0,0,18
492,17.6916985240735,17.69061,-0.001088524073502,0.001088524073502,0,0,18
495,17.6809079081675,17.67982,-0.001087908167502,0.001087908167502,0,0,18
498,17.6701247807544,17.669038,-0.001086780754399,0.001086780754399,0,0,18
501,17.6593491366376,17.658263,-0.0010861366376,0.0010861366376,0,0,18
504,17.6485809706238,17.647495,-0.001085970623802,0.001085970623802,0,0,18
507,17.6378202775234,17.636735,-0.001085277523398,0.001085277523398,0,0,18
510,17.62706705215,17.625983,-0.001084052149999,0.001084052149999,0,1,18
513,17.6349596628054,17.633255,-0.001704662805402,0.001704662805402,1,1,18
516,17.6428467961312,17.641144,-0.001702796131198,0.001702796131198,1,1,18
519,17.6507284559285,17.649026,-0.001702455928502,0.001702455928502,1,1,18
522,17.658604645996,17.656904,-0.001700645995999,0.001700645995999,1,1,18
525,17.6664753701293,17.664776,-0.001699370129302,0.001699370129302,1,1,18
528,17.6743406321219,17.672642,-0.001698632121901,0.001698632121901,1,1,18
531,17.6822004357642,17.680503,-0.0016974357642,0.0016974357642,1,1,18
534,17.6900547848443,17.688359,-0.001695784844301,0.001695784844301,1,1,18
537,17.6979036831476,17.696209,-0.001694683147601,0.001694683147601,1,1,18
540,17.7057471344569,17.704053,-0.001694134456901,0.001694134456901,1,1,18
543,17.7135851425522,17.711893,-0.001692142552201,0.001692142552201,1,1,18
546,17.721417711211,17.719726,-0.001691711210999,0.001691711210999,1,1,18
549,17.7292448442082,17.727555,-0.001689844208201,0.001689844208201,1,1,18
552,17.737066545316,17.735377,-0.001689545316001,0.001689545316001,1,1,18
555,17.7448828183042,17.743195,-0.001687818304198,0.001687818304198,1,1,18
558,17.7526936669398,17.751007,-0.001686666939797,0.001686666939797,1,1,18
561,17.7604990949871,17.758814,-0.001685094987099,0.001685094987099,1,1,18
564,17.7682991062077,17.766615,-0.001684106207698,0.001684106207698,1,1,18
567,17.776093704361,17.77441,-0.001683704361,0.001683704361,1,1,18
570,17.7838828932036,17.782201,-0.0016818932036,0.0016818932036,1,1,18
573,17.7916666764894,17.789986,-0.0016806764894,0.0016806764894,1,1,18
576,17.7994450579698,17.797765,-0.0016800579698,0.0016800579698,1,1,18
579,17.8072180413935,17.805539,-0.001679041393501,0.001679041393501,1,1,18
582,17.8149856305069,17.813308,-0.001677630506901,0.001677630506901,1,1,18
585,17.8227478290532,17.821072,-0.001675829053198,0.001675829053198,1,1,18
588,17.8305046407735,17.82883,-0.001674640773501,0.001674640773501,1,1,18
591,17.8382560694062,17.836582,-0.001674069406199,0.001674069406199,1,1,18
594,17.8460021186868,17.844329,-0.001673118686803,0.001673118686803,1,1,18
597,17.8537427923488,17.852071,-0.001671792348802,0.001671792348802,1,1,18
600,17.8614780941226,17.859808,-0.001670094122598,0.001670094122598,1,1,18
603,17.8692080277365,17.867539,-0.001669027736501,0.001669027736501,1,1,18
606,17.8769325969156,17.875265,-0.001667596915603,0.001667596915603,1,1,18
609,17.8846518053829,17.882985,-0.0016668053829,0.0016668053829,1,1,18
612,17.8923656568584,17.8907,-0.0016656568584,0.0016656568584,1,1,18
615,17.9000741550599,17.89841,-0.001664155059903,0.001664155059903,1,1,18
618,17.9077773037025,17.906114,-0.0016633037025,0.0016633037025,1,1,18
621,17.9154751064985,17.913813,-0.0016621064985,0.0016621064985,1,1,18
