Time;ThermostatTargetTemperature;LivingroomTemperature;KitchenTemperature;HallTemperature
0.1;;16.999283;16.999503;16.998758
5;;16.967386;16.977399;16.943542
10;;16.934911;16.954880;16.887427
15;;16.902509;16.932397;16.831542
20;;16.870244;16.909994;16.775996
25;;16.837988;16.887583;16.720565
30;;16.805804;16.865208;16.665361
30.1;14.000000;16.805804;16.865208;16.665361
30.2;14.000000;16.804518;16.864313;16.663158
35.2;14.000000;16.772410;16.841975;16.608189
40.2;14.000000;16.740374;16.819673;16.553444
45.2;14.000000;16.708346;16.797362;16.498813
50.2;14.000000;16.676455;16.775132;16.444515
55.2;14.000000;16.644635;16.752937;16.390439
60.1;14.000000;16.644635;16.752937;16.390439
60.2;14.000000;16.612887;16.730778;16.336583
65.2;14.000000;16.581211;16.708654;16.282948
70.2;14.000000;16.549606;16.686566;16.229531
75.2;14.000000;16.518135;16.664557;16.176439
80.2;14.000000;16.486672;16.642539;16.123457
85.2;14.000000;16.455280;16.620557;16.070692
90.1;14.000000;16.455280;16.620557;16.070692
90.2;14.000000;16.423959;16.598610;16.018143
95.2;14.000000;16.392708;16.576699;15.965808
100.2;14.000000;16.361528;16.554822;15.913687
105.2;14.000000;16.330418;16.532981;15.861778
110.2;14.000000;16.299379;16.511174;15.810082
115.2;14.000000;16.268409;16.489403;15.758597
120.1;14.000000;16.268409;16.489403;15.758597
120.2;14.000000;16.237509;16.467666;15.707322
125.2;14.000000;16.206678;16.445965;15.656257
130.2;14.000000;16.175918;16.424298;15.605400
135.2;14.000000;16.145226;16.402666;15.554751
140.2;14.000000;16.114604;16.381069;15.504309
145.2;14.000000;16.084050;16.359506;15.454073
150.1;14.000000;16.084050;16.359506;15.454073
150.2;14.000000;16.053566;16.337978;15.404042
155.2;14.000000;16.023150;16.316484;15.354215
160.2;14.000000;15.992742;16.294982;15.304493
165.2;14.000000;15.962463;16.273558;15.255073
170.2;14.000000;15.932253;16.252168;15.205855
175.2;14.000000;15.902110;16.230812;15.156838
180.1;14.000000;15.902110;16.230812;15.156838
180.2;14.000000;15.872036;16.209490;15.108021
185.2;14.000000;15.842029;16.188203;15.059403
190.2;14.000000;15.812090;16.166949;15.010984
195.2;14.000000;15.782219;16.145730;14.962763
200.2;14.000000;15.752414;16.124545;14.914739
205.2;14.000000;15.722677;16.103394;14.866911
210.1;14.000000;15.722677;16.103394;14.866911
210.2;14.000000;15.693007;16.082277;14.819278
215.2;14.000000;15.663404;16.061194;14.771840
220.2;14.000000;15.633868;16.040144;14.724596
225.2;14.000000;15.604398;16.019128;14.677544
230.2;14.000000;15.574994;15.998146;14.630685
235.2;14.000000;15.545657;15.977198;14.584017
240.1;14.000000;15.545657;15.977198;14.584017
240.2;14.000000;15.516386;15.956283;14.537540
245.2;14.000000;15.487181;15.935402;14.491253
250.2;14.000000;15.458042;15.914555;14.445154
255.2;14.000000;15.428968;15.893740;14.399244
260.2;14.000000;15.399960;15.872960;14.353522
265.2;14.000000;15.371017;15.852212;14.307986
270.1;14.000000;15.371017;15.852212;14.307986
270.2;14.000000;15.342140;15.831498;14.262636
275.2;14.000000;15.313327;15.810817;14.217472
280.2;14.000000;15.284580;15.790169;14.172492
285.2;14.000000;15.255897;15.769554;14.127695
290.2;14.000000;15.227279;15.748973;14.083082
295.2;14.000000;15.198726;15.728424;14.038651
300.1;14.000000;15.198726;15.728424;14.038651
300.2;14.000000;15.170236;15.707909;13.994401
305.2;14.000000;15.141812;15.687426;13.950332
310.2;14.000000;15.113451;15.666976;13.906443
315.2;14.000000;15.085154;15.646559;13.862734
320.2;14.000000;15.056920;15.626175;13.819203
325.2;14.000000;15.028751;15.605823;13.775849
330.1;14.000000;15.028751;15.605823;13.775849
330.2;14.000000;15.000645;15.585505;13.732673
335.2;14.000000;14.972602;15.565218;13.689673
340.2;14.000000;14.944622;15.544965;13.646849
345.2;14.000000;14.916706;15.524743;13.604200
350.2;14.000000;14.888852;15.504554;13.561724
355.2;14.000000;14.861062;15.484398;13.519423
360.1;14.000000;14.861062;15.484398;13.519423
360.2;14.000000;14.833333;15.464274;13.477294
365.2;14.000000;14.805668;15.444182;13.435337
370.2;14.000000;14.778065;15.424123;13.393552
375.2;14.000000;14.750523;15.404095;13.351937
380.2;14.000000;14.723044;15.384100;13.310492
385.2;14.000000;14.695627;15.364137;13.269217
390.1;14.000000;14.695627;15.364137;13.269217
390.2;14.000000;14.668272;15.344206;13.228110
395.2;14.000000;14.640978;15.324307;13.187171
400.2;14.000000;14.613746;15.304439;13.146399
405.2;14.000000;14.586575;15.284604;13.105794
410.2;14.000000;14.559466;15.264800;13.065354
415.2;14.000000;14.532418;15.245029;13.025080
420.1;14.000000;14.532418;15.245029;13.025080
420.2;14.000000;14.505430;15.225289;12.984971
425.2;14.000000;14.478503;15.205580;12.945025
430.2;14.000000;14.451637;15.185904;12.905242
435.2;14.000000;14.424832;15.166258;12.865622
440.2;14.000000;14.398087;15.146645;12.826163
445.2;14.000000;14.371402;15.127063;12.786866
450.1;14.000000;14.371402;15.127063;12.786866
450.2;14.000000;14.344778;15.107512;12.747729
455.2;14.000000;14.318213;15.087992;12.708752
460.2;14.000000;14.291709;15.068504;12.669935
465.2;14.000000;14.265264;15.049047;12.631276
470.2;14.000000;14.238878;15.029622;12.592774
475.2;14.000000;14.212552;15.010227;12.554430
480.1;14.000000;14.212552;15.010227;12.554430
480.2;14.000000;14.186286;14.990864;12.516243
485.2;14.000000;14.160078;14.971532;12.478212
490.2;14.000000;14.133930;14.952231;12.440336
495.2;14.000000;14.107841;14.932960;12.402614
500.2;14.000000;14.081810;14.913721;12.365047
505.2;14.000000;14.055838;14.894512;12.327633
510.1;14.000000;14.055838;14.894512;12.327633
510.2;14.000000;14.029925;14.875335;12.290372
515.2;14.000000;14.004070;14.856188;12.253264
520.2;14.000000;13.978273;14.837072;12.216306
525.2;14.000000;13.952535;14.817986;12.179500
530.2;14.000000;13.926854;14.798931;12.142844
535.2;14.000000;13.901232;14.779907;12.106338
540.1;14.000000;13.901232;14.779907;12.106338
540.2;14.000000;13.875667;14.760913;12.069981
545.2;14.000000;13.850160;14.741950;12.033772
550.2;14.000000;13.824710;14.723017;11.997712
555.2;14.000000;13.799317;14.704114;11.961798
560.2;14.000000;13.773982;14.685242;11.926031
565.2;14.000000;13.748704;14.666400;11.890411
570.1;14.000000;13.748704;14.666400;11.890411
570.2;14.000000;13.723483;14.647588;11.854936
575.2;14.000000;13.698319;14.628807;11.819605
580.2;14.000000;13.673211;14.610056;11.784419
585.2;14.000000;13.648160;14.591334;11.749377
590.2;14.000000;13.623165;14.572643;11.714478
595.2;14.000000;13.598227;14.553982;11.679722
600.1;14.000000;13.598227;14.553982;11.679722
600.2;14.000000;13.625060;14.566389;11.713997
605.2;14.000000;13.651850;14.578788;11.748156
610.2;14.000000;13.678579;14.591166;11.782175
615.2;14.000000;13.705249;14.603524;11.816055
620.2;14.000000;13.731858;14.615863;11.849796
625.2;14.000000;13.758407;14.628182;11.883400
630.1;14.000000;13.758407;14.628182;11.883400
630.2;14.000000;13.784896;14.640481;11.916867
635.2;14.000000;13.811326;14.652760;11.950196
640.2;14.000000;13.837696;14.665020;11.983390
645.2;14.000000;13.864006;14.677260;12.016448
650.2;14.000000;13.890257;14.689480;12.049371
655.2;14.000000;13.916449;14.701681;12.082160
660.1;14.000000;13.916449;14.701681;12.082160
660.2;14.000000;13.942582;14.713862;12.114815
665.2;14.000000;13.968657;14.726024;12.147336
670.2;14.000000;13.994672;14.738166;12.179725
675.2;14.000000;14.020629;14.750288;12.211981
680.2;14.000000;14.046527;14.762392;12.244105
685.2;14.000000;14.072367;14.774475;12.276098
690.1;14.000000;14.072367;14.774475;12.276098
690.2;14.000000;14.098149;14.786540;12.307961
695.2;14.000000;14.123872;14.798585;12.339693
700.2;14.000000;14.149538;14.810610;12.371296
705.2;14.000000;14.175145;14.822617;12.402770
710.2;14.000000;14.200695;14.834604;12.434115
715.2;14.000000;14.226188;14.846572;12.465332
720.1;14.000000;14.226188;14.846572;12.465332
720.2;14.000000;14.251623;14.858520;12.496422
725.2;14.000000;14.277000;14.870450;12.527385
730.2;14.000000;14.302321;14.882360;12.558221
735.2;14.000000;14.327584;14.894252;12.588931
740.2;14.000000;14.352791;14.906124;12.619516
745.2;14.000000;14.377940;14.917977;12.649976
750.1;14.000000;14.377940;14.917977;12.649976
750.2;14.000000;14.351318;14.898772;12.611421
755.2;14.000000;14.324739;14.879587;12.573001
760.2;14.000000;14.298219;14.860434;12.534738
765.2;14.000000;14.271760;14.841311;12.496631
770.2;14.000000;14.245360;14.822218;12.458679
775.2;14.000000;14.219019;14.803157;12.420883
780.1;14.000000;14.219019;14.803157;12.420883
780.2;14.000000;14.192738;14.784125;12.383241
785.2;14.000000;14.166516;14.765125;12.345753
790.2;14.000000;14.140354;14.746155;12.308418
795.2;14.000000;14.114250;14.727215;12.271236
800.2;14.000000;14.088205;14.708306;12.234205
805.2;14.000000;14.062218;14.689427;12.197326
810.1;14.000000;14.062218;14.689427;12.197326
810.2;14.000000;14.036291;14.670578;12.160597
815.2;14.000000;14.010421;14.651760;12.124018
820.2;14.000000;13.984610;14.632972;12.087589
825.2;14.000000;13.958858;14.614214;12.051308
830.2;14.000000;13.933163;14.595486;12.015176
835.2;14.000000;13.907526;14.576788;11.979191
840.1;14.000000;13.907526;14.576788;11.979191
840.2;14.000000;13.881947;14.558120;11.943354
845.2;14.000000;13.856425;14.539482;11.907662
850.2;14.000000;13.830962;14.520874;11.872117
855.2;14.000000;13.805555;14.502296;11.836716
860.2;14.000000;13.780206;14.483747;11.801460
865.2;14.000000;13.754914;14.465228;11.766349
870.1;14.000000;13.754914;14.465228;11.766349
870.2;14.000000;13.729678;14.446740;11.731380
875.2;14.000000;13.704500;14.428280;11.696555
880.2;14.000000;13.679379;14.409851;11.661871
885.2;14.000000;13.654314;14.391451;11.627330
890.2;14.000000;13.629305;14.373080;11.592929
895.2;14.000000;13.604353;14.354739;11.558669
900.1;14.000000;13.604353;14.354739;11.558669
900.2;14.000000;13.631173;14.367466;11.593439
905.2;14.000000;13.657949;14.380184;11.628090
910.2;14.000000;13.684664;14.392881;11.662599
915.2;14.000000;13.711320;14.405557;11.696968
920.2;14.000000;13.737915;14.418213;11.731196
925.2;14.000000;13.764450;14.430849;11.765284
930.1;14.000000;13.764450;14.430849;11.765284
930.2;14.000000;13.790926;14.443465;11.799233
935.2;14.000000;13.817342;14.456060;11.833043
940.2;14.000000;13.843698;14.468636;11.866715
945.2;14.000000;13.869995;14.481191;11.900250
950.2;14.000000;13.896233;14.493726;11.933648
955.2;14.000000;13.922412;14.506240;11.966909
960.1;14.000000;13.922412;14.506240;11.966909
960.2;14.000000;13.948531;14.518735;12.000035
965.2;14.000000;13.974592;14.531210;12.033025
970.2;14.000000;14.000594;14.543664;12.065880
975.2;14.000000;14.026538;14.556099;12.098601
980.2;14.000000;14.052423;14.568514;12.131189
985.2;14.000000;14.078249;14.580908;12.163643
990.1;14.000000;14.078249;14.580908;12.163643
990.2;14.000000;14.104018;14.593283;12.195965
995.2;14.000000;14.129728;14.605638;12.228155
1000.2;14.000000;14.155380;14.617974;12.260213
1005.2;14.000000;14.180975;14.630289;12.292141
1010.2;14.000000;14.206512;14.642585;12.323938
1015.2;14.000000;14.231991;14.654861;12.355605
1020.1;14.000000;14.231991;14.654861;12.355605
1020.2;14.000000;14.257413;14.667117;12.387143
1025.2;14.000000;14.282777;14.679354;12.418552
1030.2;14.000000;14.308085;14.691571;12.449833
1035.2;14.000000;14.333335;14.703768;12.480986
1040.2;14.000000;14.358529;14.715946;12.512011
1045.2;14.000000;14.383665;14.728104;12.542910
1050.1;14.000000;14.383665;14.728104;12.542910
1050.2;14.000000;14.357030;14.709204;12.504793
1055.2;14.000000;14.330438;14.690323;12.466808
1060.2;14.000000;14.303906;14.671473;12.428979
1065.2;14.000000;14.277434;14.652653;12.391304
1070.2;14.000000;14.251021;14.633864;12.353783
1075.2;14.000000;14.224668;14.615104;12.316415
1080.1;14.000000;14.224668;14.615104;12.316415
1080.2;14.000000;14.198374;14.596375;12.279200
1085.2;14.000000;14.172139;14.577675;12.242137
1090.2;14.000000;14.145964;14.559006;12.205225
1095.2;14.000000;14.119847;14.540367;12.168464
1100.2;14.000000;14.093790;14.521757;12.131853
1105.2;14.000000;14.067791;14.503178;12.095392
1110.1;14.000000;14.067791;14.503178;12.095392
1110.2;14.000000;14.041850;14.484628;12.059079
1115.2;14.000000;14.015969;14.466108;12.022915
1120.2;14.000000;13.990145;14.447617;11.986899
1125.2;14.000000;13.964380;14.429157;11.951030
1130.2;14.000000;13.938673;14.410726;11.915307
1135.2;14.000000;13.913023;14.392324;11.879730
1140.1;14.000000;13.913023;14.392324;11.879730
1140.2;14.000000;13.887432;14.373952;11.844299
1145.2;14.000000;13.861898;14.355610;11.809012
1150.2;14.000000;13.836422;14.337297;11.773869
1155.2;14.000000;13.811003;14.319013;11.738870
1160.2;14.000000;13.785641;14.300758;11.704014
1165.2;14.000000;13.760337;14.282533;11.669300
1170.1;14.000000;13.760337;14.282533;11.669300
1170.2;14.000000;13.735090;14.264338;11.634728
1175.2;14.000000;13.709899;14.246171;11.600297
1180.2;14.000000;13.684765;14.228033;11.566007
1185.2;14.000000;13.659688;14.209925;11.531857
1190.2;14.000000;13.634668;14.191846;11.497846
1195.2;14.000000;13.609704;14.173795;11.463975
1200.1;14.000000;13.609704;14.173795;11.463975
1200.2;14.000000;13.636511;14.186813;11.499131
1205.2;14.000000;13.663275;14.199820;11.534167
1210.2;14.000000;13.689979;14.212807;11.569060
1215.2;14.000000;13.716622;14.225772;11.603811
1220.2;14.000000;13.743205;14.238717;11.638419
1225.2;14.000000;13.769729;14.251641;11.672887
1230.1;14.000000;13.769729;14.251641;11.672887
1230.2;14.000000;13.796193;14.264544;11.707213
1235.2;14.000000;13.822597;14.277426;11.741399
1240.2;14.000000;13.848941;14.290288;11.775446
1245.2;14.000000;13.875227;14.303129;11.809353
1250.2;14.000000;13.901452;14.315950;11.843122
1255.2;14.000000;13.927619;14.328750;11.876753
1260.1;14.000000;13.927619;14.328750;11.876753
1260.2;14.000000;13.953727;14.341529;11.910247
1265.2;14.000000;13.979776;14.354288;11.943604
1270.2;14.000000;14.005767;14.367027;11.976825
1275.2;14.000000;14.031698;14.379745;12.009909
1280.2;14.000000;14.057572;14.392443;12.042859
1285.2;14.000000;14.083387;14.405120;12.075675
1290.1;14.000000;14.083387;14.405120;12.075675
1290.2;14.000000;14.109143;14.417777;12.108356
1295.2;14.000000;14.134842;14.430413;12.140903
1300.2;14.000000;14.160483;14.443030;12.173318
1305.2;14.000000;14.186066;14.455626;12.205601
1310.2;14.000000;14.211591;14.468202;12.237751
1315.2;14.000000;14.237059;14.480757;12.269770
1320.1;14.000000;14.237059;14.480757;12.269770
1320.2;14.000000;14.262470;14.493293;12.301659
1325.2;14.000000;14.287823;14.505809;12.333417
1330.2;14.000000;14.313119;14.518304;12.365045
1335.2;14.000000;14.338358;14.530779;12.396545
1340.2;14.000000;14.363540;14.543235;12.427915
1345.2;14.000000;14.388666;14.555670;12.459158
1350.1;14.000000;14.388666;14.555670;12.459158
1350.2;14.000000;14.362019;14.537046;12.421382
1355.2;14.000000;14.335416;14.518442;12.383738
1360.2;14.000000;14.308873;14.499868;12.346248
1365.2;14.000000;14.282389;14.481323;12.308911
1370.2;14.000000;14.255965;14.462809;12.271727
1375.2;14.000000;14.229601;14.444323;12.234694
1380.1;14.000000;14.229601;14.444323;12.234694
1380.2;14.000000;14.203296;14.425868;12.197813
1385.2;14.000000;14.177050;14.407442;12.161082
1390.2;14.000000;14.150863;14.389046;12.124501
1395.2;14.000000;14.124736;14.370679;12.088070
1400.2;14.000000;14.098667;14.352342;12.051788
1405.2;14.000000;14.072657;14.334034;12.015653
1410.1;14.000000;14.072657;14.334034;12.015653
1410.2;14.000000;14.046706;14.315756;11.979667
1415.2;14.000000;14.020813;14.297507;11.943827
1420.2;14.000000;13.994979;14.279287;11.908134
1425.2;14.000000;13.969203;14.261096;11.872586
1430.2;14.000000;13.943485;14.242935;11.837184
1435.2;14.000000;13.917824;14.224802;11.801926
1440.1;14.000000;13.917824;14.224802;11.801926
1440.2;14.000000;13.892222;14.206699;11.766812
1445.2;14.000000;13.866678;14.188625;11.731842
1450.2;14.000000;13.841191;14.170580;11.697014
