Time;ThermostatTargetTemperature;LivingroomTemperature;KitchenTemperature;HallTemperature
0.1;;16.999283;16.998762;16.998758
5;;16.967386;16.943696;16.943542
10;;16.934911;16.887706;16.887427
15;;16.902509;16.831916;16.831542
20;;16.870244;16.776437;16.775996
25;;16.837988;16.721047;16.720565
30;;16.805804;16.665854;16.665361
30.1;14.000000;16.805804;16.665854;16.665361
30.2;14.000000;16.804518;16.663650;16.663158
35.2;14.000000;16.772410;16.608664;16.608189
40.2;14.000000;16.740374;16.553874;16.553444
45.2;14.000000;16.708346;16.499171;16.498813
50.2;14.000000;16.676455;16.444774;16.444515
55.2;14.000000;16.644635;16.390571;16.390439
60.1;14.000000;16.644635;16.390571;16.390439
60.2;14.000000;16.612887;16.336562;16.336583
65.2;14.000000;16.581211;16.282747;16.282948
70.2;14.000000;16.549606;16.229125;16.229531
75.2;14.000000;16.518135;16.175802;16.176439
80.2;14.000000;16.486672;16.122563;16.123457
85.2;14.000000;16.455280;16.069514;16.070692
90.1;14.000000;16.455280;16.069514;16.070692
90.2;14.000000;16.423959;16.016656;16.018143
95.2;14.000000;16.392708;15.963987;15.965808
100.2;14.000000;16.361528;15.911507;15.913687
105.2;14.000000;16.330418;15.859215;15.861778
110.2;14.000000;16.299379;15.807110;15.810082
115.2;14.000000;16.268409;15.755192;15.758597
120.1;14.000000;16.268409;15.755192;15.758597
120.2;14.000000;16.237509;15.703460;15.707322
125.2;14.000000;16.206678;15.651913;15.656257
130.2;14.000000;16.175918;15.600551;15.605400
135.2;14.000000;16.145226;15.549373;15.554751
140.2;14.000000;16.114604;15.498378;15.504309
145.2;14.000000;16.084050;15.447566;15.454073
150.1;14.000000;16.084050;15.447566;15.454073
150.2;14.000000;16.053566;15.396936;15.404042
155.2;14.000000;16.023150;15.346488;15.354215
160.2;14.000000;15.992742;15.296119;15.304493
165.2;14.000000;15.962463;15.246032;15.255073
170.2;14.000000;15.932253;15.196124;15.205855
175.2;14.000000;15.902110;15.146395;15.156838
180.1;14.000000;15.902110;15.146395;15.156838
180.2;14.000000;15.872036;15.096844;15.108021
185.2;14.000000;15.842029;15.047471;15.059403
190.2;14.000000;15.812090;14.998274;15.010984
195.2;14.000000;15.782219;14.949254;14.962763
200.2;14.000000;15.752414;14.900409;14.914739
205.2;14.000000;15.722677;14.851739;14.866911
210.1;14.000000;15.722677;14.851739;14.866911
210.2;14.000000;15.693007;14.803244;14.819278
215.2;14.000000;15.663404;14.754922;14.771840
