Time;ThermostatTargetTemperature;LivingroomTemperature;KitchenTemperature;HallTemperature
0.1;;16.999421;16.999503;16.998483
5;;16.973631;16.977399;16.931080
10;;16.947364;16.954880;16.862629
15;;16.921147;16.932397;16.794507
20;;16.895032;16.909994;16.726849
25;;16.868913;16.887583;16.659381
30;;16.842844;16.865208;16.592239
30.1;14.000000;16.842844;16.865208;16.592239
30.2;14.000000;16.841803;16.864313;16.589560
35.2;14.000000;16.815785;16.841975;16.522753
40.2;14.000000;16.789816;16.819673;16.456268
45.2;14.000000;16.763844;16.797362;16.389972
50.2;14.000000;16.737973;16.775132;16.324127
55.2;14.000000;16.712151;16.752937;16.258598
60.1;14.000000;16.712151;16.752937;16.258598
60.2;14.000000;16.686378;16.730778;16.193386
65.2;14.000000;16.660654;16.708654;16.128487
70.2;14.000000;16.634978;16.686566;16.063901
75.2;14.000000;16.609401;16.664557;15.999755
80.2;14.000000;16.583822;16.642539;15.935789
85.2;14.000000;16.558291;16.620557;15.872131
90.1;14.000000;16.558291;16.620557;15.872131
90.2;14.000000;16.532808;16.598610;15.808779
95.2;14.000000;16.507373;16.576699;15.745733
100.2;14.000000;16.481986;16.554822;15.682990
105.2;14.000000;16.456648;16.532981;15.620550
110.2;14.000000;16.431357;16.511174;15.558410
115.2;14.000000;16.406113;16.489403;15.496569
120.1;14.000000;16.406113;16.489403;15.496569
120.2;14.000000;16.380918;16.467666;15.435026
125.2;14.000000;16.355769;16.445965;15.373780
130.2;14.000000;16.330669;16.424298;15.312829
135.2;14.000000;16.305616;16.402666;15.252171
140.2;14.000000;16.280610;16.381069;15.191805
145.2;14.000000;16.255651;16.359506;15.131730
150.1;14.000000;16.255651;16.359506;15.131730
150.2;14.000000;16.230739;16.337978;15.071944
155.2;14.000000;16.205874;16.316484;15.012446
160.2;14.000000;16.181007;16.294982;14.953117
165.2;14.000000;16.156236;16.273558;14.894191
170.2;14.000000;16.131512;16.252168;14.835550
175.2;14.000000;16.106835;16.230812;14.777190
180.1;14.000000;16.106835;16.230812;14.777190
180.2;14.000000;16.082204;16.209490;14.719112
185.2;14.000000;16.057619;16.188203;14.661313
190.2;14.000000;16.033081;16.166949;14.603793
195.2;14.000000;16.008590;16.145730;14.546550
200.2;14.000000;15.984144;16.124545;14.489582
205.2;14.000000;15.959745;16.103394;14.432889
210.1;14.000000;15.959745;16.103394;14.432889
210.2;14.000000;15.935392;16.082277;14.376469
215.2;14.000000;15.911084;16.061194;14.320320
220.2;14.000000;15.886823;16.040144;14.264442
225.2;14.000000;15.862607;16.019128;14.208833
230.2;14.000000;15.838437;15.998146;14.153492
235.2;14.000000;15.814313;15.977198;14.098417
240.1;14.000000;15.814313;15.977198;14.098417
240.2;14.000000;15.790234;15.956283;14.043608
245.2;14.000000;15.766201;15.935402;13.989062
250.2;14.000000;15.742213;15.914555;13.934779
255.2;14.000000;15.718270;15.893740;13.880758
260.2;14.000000;15.694373;15.872960;13.826997
265.2;14.000000;15.670520;15.852212;13.773494
270.1;14.000000;15.670520;15.852212;13.773494
270.2;14.000000;15.646713;15.831498;13.720250
275.2;14.000000;15.622950;15.810817;13.667261
280.2;14.000000;15.599233;15.790169;13.614528
285.2;14.000000;15.575560;15.769554;13.562049
290.2;14.000000;15.551932;15.748973;13.509823
295.2;14.000000;15.528348;15.728424;13.457848
300.1;14.000000;15.528348;15.728424;13.457848
300.2;14.000000;15.504809;15.707909;13.406124
305.2;14.000000;15.481314;15.687426;13.354648
310.2;14.000000;15.457864;15.666976;13.303421
315.2;14.000000;15.434458;15.646559;13.252440
320.2;14.000000;15.411096;15.626175;13.201704
325.2;14.000000;15.387778;15.605823;13.151213
330.1;14.000000;15.387778;15.605823;13.151213
330.2;14.000000;15.364504;15.585505;13.100965
335.2;14.000000;15.341274;15.565218;13.050960
340.2;14.000000;15.318088;15.544965;13.001195
345.2;14.000000;15.294946;15.524743;12.951669
350.2;14.000000;15.271847;15.504554;12.902382
355.2;14.000000;15.248792;15.484398;12.853333
360.1;14.000000;15.248792;15.484398;12.853333
360.2;14.000000;15.225781;15.464274;12.804519
365.2;14.000000;15.202812;15.444182;12.755941
370.2;14.000000;15.179888;15.424123;12.707597
375.2;14.000000;15.157006;15.404095;12.659486
380.2;14.000000;15.134168;15.384100;12.611606
385.2;14.000000;15.111373;15.364137;12.563957
390.1;14.000000;15.111373;15.364137;12.563957
390.2;14.000000;15.088621;15.344206;12.516537
395.2;14.000000;15.065911;15.324307;12.469346
400.2;14.000000;15.043245;15.304439;12.422382
405.2;14.000000;15.020621;15.284604;12.375644
410.2;14.000000;14.998040;15.264800;12.329131
415.2;14.000000;14.975502;15.245029;12.282842
420.1;14.000000;14.975502;15.245029;12.282842
420.2;14.000000;14.953006;15.225289;12.236776
425.2;14.000000;14.930553;15.205580;12.190932
430.2;14.000000;14.908142;15.185904;12.145309
435.2;14.000000;14.885773;15.166258;12.099905
440.2;14.000000;14.863447;15.146645;12.054720
445.2;14.000000;14.841163;15.127063;12.009753
450.1;14.000000;14.841163;15.127063;12.009753
450.2;14.000000;14.818920;15.107512;11.965002
455.2;14.000000;14.796720;15.087992;11.920467
460.2;14.000000;14.774562;15.068504;11.876146
465.2;14.000000;14.752445;15.049047;11.832039
470.2;14.000000;14.730371;15.029622;11.788144
475.2;14.000000;14.708337;15.010227;11.744461
480.1;14.000000;14.708337;15.010227;11.744461
480.2;14.000000;14.686346;14.990864;11.700988
485.2;14.000000;14.664396;14.971532;11.657724
490.2;14.000000;14.642487;14.952231;11.614668
495.2;14.000000;14.620620;14.932960;11.571820
500.2;14.000000;14.598794;14.913721;11.529179
505.2;14.000000;14.577009;14.894512;11.486742
510.1;14.000000;14.577009;14.894512;11.486742
510.2;14.000000;14.555265;14.875335;11.444510
515.2;14.000000;14.533563;14.856188;11.402482
520.2;14.000000;14.511901;14.837072;11.360655
525.2;14.000000;14.490280;14.817986;11.319031
530.2;14.000000;14.468700;14.798931;11.277606
535.2;14.000000;14.447161;14.779907;11.236382
540.1;14.000000;14.447161;14.779907;11.236382
540.2;14.000000;14.425662;14.760913;11.195355
545.2;14.000000;14.404204;14.741950;11.154527
550.2;14.000000;14.382786;14.723017;11.113895
555.2;14.000000;14.361409;14.704114;11.073458
560.2;14.000000;14.340072;14.685242;11.033216
565.2;14.000000;14.318776;14.666400;10.993169
570.1;14.000000;14.318776;14.666400;10.993169
570.2;14.000000;14.297519;14.647588;10.953314
575.2;14.000000;14.276303;14.628807;10.913651
580.2;14.000000;14.255127;14.610056;10.874178
585.2;14.000000;14.233991;14.591334;10.834897
590.2;14.000000;14.212894;14.572643;10.795804
595.2;14.000000;14.191838;14.553982;10.756899
