Time;ThermostatTargetTemperature;LivingroomTemperature;KitchenTemperature;HallTemperature
0.1;;16.999421;16.998762;16.998483
5;;16.973631;16.943696;16.931080
10;;16.947364;16.887706;16.862629
15;;16.921147;16.831916;16.794507
20;;16.895032;16.776437;16.726849
25;;16.868913;16.721047;16.659381
30;;16.842844;16.665854;16.592239
30.1;14.000000;16.842844;16.665854;16.592239
30.2;14.000000;16.841803;16.663650;16.589560
35.2;14.000000;16.815785;16.608664;16.522753
40.2;14.000000;16.789816;16.553874;16.456268
45.2;14.000000;16.763844;16.499171;16.389972
50.2;14.000000;16.737973;16.444774;16.324127
55.2;14.000000;16.712151;16.390571;16.258598
60.1;14.000000;16.712151;16.390571;16.258598
60.2;14.000000;16.686378;16.336562;16.193386
65.2;14.000000;16.660654;16.282747;16.128487
70.2;14.000000;16.634978;16.229125;16.063901
75.2;14.000000;16.609401;16.175802;15.999755
80.2;14.000000;16.583822;16.122563;15.935789
85.2;14.000000;16.558291;16.069514;15.872131
90.1;14.000000;16.558291;16.069514;15.872131
90.2;14.000000;16.532808;16.016656;15.808779
95.2;14.000000;16.507373;15.963987;15.745733
100.2;14.000000;16.481986;15.911507;15.682990
105.2;14.000000;16.456648;15.859215;15.620550
110.2;14.000000;16.431357;15.807110;15.558410
115.2;14.000000;16.406113;15.755192;15.496569
120.1;14.000000;16.406113;15.755192;15.496569
120.2;14.000000;16.380918;15.703460;15.435026
125.2;14.000000;16.355769;15.651913;15.373780
130.2;14.000000;16.330669;15.600551;15.312829
135.2;14.000000;16.305616;15.549373;15.252171
140.2;14.000000;16.280610;15.498378;15.191805
145.2;14.000000;16.255651;15.447566;15.131730
150.1;14.000000;16.255651;15.447566;15.131730
150.2;14.000000;16.230739;15.396936;15.071944
155.2;14.000000;16.205874;15.346488;15.012446
160.2;14.000000;16.181007;15.296119;14.953117
165.2;14.000000;16.156236;15.246032;14.894191
170.2;14.000000;16.131512;15.196124;14.835550
175.2;14.000000;16.106835;15.146395;14.777190
180.1;14.000000;16.106835;15.146395;14.777190
180.2;14.000000;16.082204;15.096844;14.719112
185.2;14.000000;16.057619;15.047471;14.661313
190.2;14.000000;16.033081;14.998274;14.603793
195.2;14.000000;16.008590;14.949254;14.546550
200.2;14.000000;15.984144;14.900409;14.489582
205.2;14.000000;15.959745;14.851739;14.432889
210.1;14.000000;15.959745;14.851739;14.432889
210.2;14.000000;15.935392;14.803244;14.376469
215.2;14.000000;15.911084;14.754922;14.320320
220.2;14.000000;15.886823;14.706774;14.264442
225.2;14.000000;15.862607;14.658798;14.208833
230.2;14.000000;15.838437;14.610994;14.153492
235.2;14.000000;15.814313;14.563361;14.098417
240.1;14.000000;15.814313;14.563361;14.098417
240.2;14.000000;15.790234;14.515899;14.043608
245.2;14.000000;15.766201;14.468607;13.989062
250.2;14.000000;15.742213;14.421484;13.934779
255.2;14.000000;15.718270;14.374530;13.880758
260.2;14.000000;15.694373;14.327745;13.826997
265.2;14.000000;15.670520;14.281127;13.773494
270.1;14.000000;15.670520;14.281127;13.773494
270.2;14.000000;15.646713;14.234676;13.720250
275.2;14.000000;15.622950;14.188391;13.667261
280.2;14.000000;15.599233;14.142273;13.614528
285.2;14.000000;15.575560;14.096319;13.562049
290.2;14.000000;15.551932;14.050530;13.509823
295.2;14.000000;15.528348;14.004905;13.457848
300.1;14.000000;15.528348;14.004905;13.457848
300.2;14.000000;15.504809;13.959444;13.406124
305.2;14.000000;15.481314;13.914146;13.354648
310.2;14.000000;15.457864;13.869009;13.303421
315.2;14.000000;15.434458;13.824035;13.252440
320.2;14.000000;15.411096;13.779222;13.201704
325.2;14.000000;15.387778;13.734569;13.151213
330.1;14.000000;15.387778;13.734569;13.151213
330.2;14.000000;15.364504;13.690076;13.100965
335.2;14.000000;15.341274;13.645743;13.050960
340.2;14.000000;15.318088;13.601568;13.001195
345.2;14.000000;15.294946;13.557552;12.951669
350.2;14.000000;15.271847;13.513693;12.902382
355.2;14.000000;15.248792;13.469992;12.853333
360.1;14.000000;15.248792;13.469992;12.853333
360.2;14.000000;15.225781;13.426447;12.804519
365.2;14.000000;15.202812;13.383058;12.755941
370.2;14.000000;15.179888;13.339824;12.707597
375.2;14.000000;15.157006;13.296746;12.659486
380.2;14.000000;15.134168;13.253821;12.611606
385.2;14.000000;15.111373;13.211051;12.563957
390.1;14.000000;15.111373;13.211051;12.563957
390.2;14.000000;15.088621;13.168434;12.516537
395.2;14.000000;15.065911;13.125969;12.469346
400.2;14.000000;15.043245;13.083657;12.422382
405.2;14.000000;15.020621;13.041496;12.375644
410.2;14.000000;14.998040;12.999486;12.329131
415.2;14.000000;14.975502;12.957627;12.282842
420.1;14.000000;14.975502;12.957627;12.282842
420.2;14.000000;14.953006;12.915918;12.236776
425.2;14.000000;14.930553;12.874358;12.190932
430.2;14.000000;14.908142;12.832947;12.145309
435.2;14.000000;14.885773;12.791684;12.099905
440.2;14.000000;14.863447;12.750570;12.054720
445.2;14.000000;14.841163;12.709602;12.009753
450.1;14.000000;14.841163;12.709602;12.009753
450.2;14.000000;14.818920;12.668782;11.965002
455.2;14.000000;14.796720;12.628107;11.920467
460.2;14.000000;14.774562;12.587578;11.876146
465.2;14.000000;14.752445;12.547195;11.832039
470.2;14.000000;14.730371;12.506956;11.788144
475.2;14.000000;14.708337;12.466862;11.744461
480.1;14.000000;14.708337;12.466862;11.744461
480.2;14.000000;14.686346;12.426911;11.700988
485.2;14.000000;14.664396;12.387103;11.657724
490.2;14.000000;14.642487;12.347437;11.614668
495.2;14.000000;14.620620;12.307914;11.571820
500.2;14.000000;14.598794;12.268533;11.529179
505.2;14.000000;14.577009;12.229292;11.486742
510.1;14.000000;14.577009;12.229292;11.486742
510.2;14.000000;14.555265;12.190192;11.444510
515.2;14.000000;14.533563;12.151233;11.402482
520.2;14.000000;14.511901;12.112412;11.360655
525.2;14.000000;14.490280;12.073731;11.319031
530.2;14.000000;14.468700;12.035189;11.277606
535.2;14.000000;14.447161;11.996784;11.236382
540.1;14.000000;14.447161;11.996784;11.236382
540.2;14.000000;14.425662;11.958518;11.195355
545.2;14.000000;14.404204;11.920388;11.154527
550.2;14.000000;14.382786;11.882395;11.113895
555.2;14.000000;14.361409;11.844538;11.073458
560.2;14.000000;14.340072;11.806816;11.033216
565.2;14.000000;14.318776;11.769230;10.993169
570.1;14.000000;14.318776;11.769230;10.993169
570.2;14.000000;14.297519;11.731778;10.953314
575.2;14.000000;14.276303;11.694461;10.913651
580.2;14.000000;14.255127;11.657277;10.874178
585.2;14.000000;14.233991;11.620227;10.834897
590.2;14.000000;14.212894;11.583309;10.795804
595.2;14.000000;14.191838;11.546523;10.756899
600.1;14.000000;14.191838;11.546523;10.756899
600.2;14.000000;14.170821;11.509870;10.718182
605.2;14.000000;14.149844;11.473347;10.679651
610.2;14.000000;14.128906;11.436956;10.641306
615.2;14.000000;14.108008;11.400695;10.603146
620.2;14.000000;14.087150;11.364563;10.565169
625.2;14.000000;14.066330;11.328562;10.527375
630.1;14.000000;14.066330;11.328562;10.527375
630.2;14.000000;14.045551;11.292689;10.489763
635.2;14.000000;14.024810;11.256945;10.452333
640.2;14.000000;14.004108;11.221328;10.415082
645.2;14.000000;13.983446;11.185840;10.378011
650.2;14.000000;13.962822;11.150478;10.341119
655.2;14.000000;13.942238;11.115243;10.304404
660.1;14.000000;13.942238;11.115243;10.304404
660.2;14.000000;13.921692;11.080135;10.267866
665.2;14.000000;13.901185;11.045152;10.231504
670.2;14.000000;13.880717;11.010295;10.195317
675.2;14.000000;13.860287;10.975562;10.159304
680.2;14.000000;13.839896;10.940954;10.123465
685.2;14.000000;13.819543;10.906470;10.087798
