Mode Speed Time Overshoot mmOvershoot
0 1 1.87301 0.000904 0.903999999999988
0 1.5 2.17701 0.000746 0.745999999999997
0 2 1.50301 0.000639 0.639000000000001
0 2.5 1.83201 0.000596 0.595999999999985
0 3 2.16101 0.000566 0.566000000000011
2 0.02 10.49701 4.49999999999895E-05 0.04499999999999
2 0.04 5.38001 9.40000000000107E-05 0.094000000000011
2 0.06 3.65801 0.000165 0.164999999999998
2 0.08 2.79201 0.000211 0.210999999999989
2 0.1 2.27101 0.00025 0.250000000000028
